betriebe_id,jahr,jahresfracht,stoff_name,stoff_gruppe,stoff_schwellenwert,bestimmungsmethode,bestimmungsverfahren,name,kennnummer,wgs84_x,wgs84_y,anschrift,bundesland,flusseinzugsgebiet,muttergesellschaft,eigentuemer,betreiber,nace_code,nace_text,prtr_beschreibung,ivu_beschreibung,branchengruppe
179627,2013,15,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,INT (M) CEN/ISO,CURRENTA GmbH & Co. OHG Deponie Rheinfeld,06-05-100-9021040,6.79493239087354,51.1065570981897,"Oberster Monheimer Weg -
41539 Dormagen",Nordrhein-Westfalen,Rhein,Bayer AG Lanxess AG,CURRENTA GmbH & Co.OHG,CURRENTA GmbH & Co. OHG,3530,Wärme- und Kälteversorgung,Deponien > 10 t/d Aufnahmekapazität oder > 25.000 t Gesamtkapazität,,Abfall- und Abwasserbewirtschaftung
174272,2012,5.6,Arsen und Verbindungen (als As),Schwermetalle,5.0,Schätzung,Sonstiges (E),Deponie München Nord,06-09-100-2071-0002,11.6365262128639,48.2233222236831,"Freisinger Landstr. 245
80939 München",Bayern,Donau,"Landeshauptstadt München, Münchner Stadtentwässerung",Landeshauptstadt München,Münchner Stadtentwässerung,3811,Sammlung nicht gefährlicher Abfälle,Deponien > 10 t/d Aufnahmekapazität oder > 25.000 t Gesamtkapazität,Deponien,Abfall- und Abwasserbewirtschaftung
85801,2007,8.07,Arsen und Verbindungen (als As),Schwermetalle,5.0,Berechnung,PER (C),Deponie Dyckerhoffbruch,06-59940860414,8.26367891512097,50.0445330743106,"Deponiestraße 15
65207 Wiesbaden, Stadt",Hessen,Rhein,Entsorgungsbetriebe der LHST Wiesbaden (ELW),,,3821,Behandlung und Beseitigung nicht gefährlicher Abfälle,Deponien > 10 t/d Aufnahmekapazität oder > 25.000 t Gesamtkapazität,Deponien,Abfall- und Abwasserbewirtschaftung
54626,2009,6.7,Arsen und Verbindungen (als As),Schwermetalle,5.0,Berechnung,PER (C),Deponie Dyckerhoffbruch,06-59940860414,8.26367891512097,50.0445330743106,"Deponiestraße 15
65207 Wiesbaden, Stadt",Hessen,Rhein,Entsorgungsbetriebe der LHST Wiesbaden (ELW),Stadt Wiesbaden,Entsorgungsbetriebe der LH Wiesbaden (ELW),3821,Behandlung und Beseitigung nicht gefährlicher Abfälle,Deponien > 10 t/d Aufnahmekapazität oder > 25.000 t Gesamtkapazität,Deponien,Abfall- und Abwasserbewirtschaftung
165557,2009,8.06,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,INT (M) CEN/ISO,Sonderabfalldeponie Gallenbach,06-09-700-8000-0001,11.0778066005446,48.4017020921693,"Oberneul 7
86551 Aichach",Bayern,Donau,Staatsbetrieb Sonderabfalldeponien im StMUGV,Staatsbetrieb Sonderabfalldeponien im StMUGV,Staatsbetrieb Sonderabfalldeponien im StMUGV,3822,Behandlung und Beseitigung gefährlicher Abfälle,Deponien > 10 t/d Aufnahmekapazität oder > 25.000 t Gesamtkapazität,Deponien,Abfall- und Abwasserbewirtschaftung
93991,2010,15,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,INT (M) CEN/ISO,Hamburg Port Authority Deponie Francop,06-02-B97205H003,9.85730613670365,53.5139350392982,"Aluminiumstraße 2
21129 Hamburg",Hamburg,Elbe/Labe,Hamburg Port Authority,Hamburg Port Authority,Hamburg Port Authority,3821,Behandlung und Beseitigung nicht gefährlicher Abfälle,Deponien > 10 t/d Aufnahmekapazität oder > 25.000 t Gesamtkapazität,Deponien,Abfall- und Abwasserbewirtschaftung
175962,2012,18.9,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,INT (M) CEN/ISO,Siedlungsabfalldeponie Horm,06-05-300-9011404,6.44069382949134,50.7484174686853,"Pfarrer-Pleus-Str. 46
52393 Hürtgenwald",Nordrhein-Westfalen,Maas,DDG Dürener Deponiegesellschaft mbH,Kreis Düren,DDG Dürener Deponiegesellschaft mbH,3821,Behandlung und Beseitigung nicht gefährlicher Abfälle,Deponien > 10 t/d Aufnahmekapazität oder > 25.000 t Gesamtkapazität,Deponien,Abfall- und Abwasserbewirtschaftung
149461,2007,13,Arsen und Verbindungen (als As),Schwermetalle,5.0,Berechnung,PER (C),RRO Rohstoff Recycling Osnabrück GmbH,03-10-10288524310,8.02814087664701,52.2925947478847,"Rheinstraße 90-122
49090 Osnabrück",Niedersachsen,Ems,RRO Rohstoff Recycling Osnabrück GmbH,,,3822,Behandlung und Beseitigung gefährlicher Abfälle,Beseitigung oder Verwertung v. gefährlichen Abfällen > 10 t/d,Beseitigung oder Verwertung v. gefährlichen Abfällen,Abfall- und Abwasserbewirtschaftung
175258,2012,35,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,INT (M) CEN/ISO,CURRENTA GmbH & Co. OHG,06-05-100-9021040,6.79493239087354,51.1065570981897,"CHEMPARK Gebäude G 8
41539 Dormagen",Nordrhein-Westfalen,Rhein,Bayer AG Lanxess AG,CURRENTA GmbH & Co.OHG,CURRENTA GmbH & Co. OHG,3530,Wärme- und Kälteversorgung,Deponien > 10 t/d Aufnahmekapazität oder > 25.000 t Gesamtkapazität,Deponien,Abfall- und Abwasserbewirtschaftung
162791,2007,6.57,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,NRB (M),REMONDIS Industrie Service GmbH Niederlassung Knapsack,06-05-800-9034819,6.84058230504816,50.8423874365304,"Tonstraße 2
50374 Erftstadt",Nordrhein-Westfalen,Rhein,REMONDIS AG & Co. KG,,,3822,Behandlung und Beseitigung gefährlicher Abfälle,Deponien > 10 t/d Aufnahmekapazität oder > 25.000 t Gesamtkapazität,Deponien,Abfall- und Abwasserbewirtschaftung
178593,2013,13,Arsen und Verbindungen (als As),Schwermetalle,5.0,Berechnung,PER (C),Rohstoff Recycling Osnabrück GmbH,03-10-10288524310,8.02814087664701,52.2925947478847,"Rheinstraße 90-122
49090 Osnabrück",Niedersachsen,Ems,Rohstoff Recycling Osnabrück GmbH,Rohstoff Recycling Osnabrück GmbH,Rohstoff Recycling Osnabrück GmbH,3832,Rückgewinnung sortierter Werkstoffe,Beseitigung oder Verwertung v. gefährlichen Abfällen > 10 t/d,,Abfall- und Abwasserbewirtschaftung
175376,2012,5.84,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,ALT,Zentraldeponie Vereinigte Ville,06-05-800-6336072,6.83684995130551,50.8358605596308,"Tonstr. 6
50374 Erftstadt",Nordrhein-Westfalen,Rhein,AVG Köln mbH,Stadt Köln,AVG Köln mbH,3821,Behandlung und Beseitigung nicht gefährlicher Abfälle,Deponien > 10 t/d Aufnahmekapazität oder > 25.000 t Gesamtkapazität,Deponien,Abfall- und Abwasserbewirtschaftung
145489,2013,6.4,Arsen und Verbindungen (als As),Schwermetalle,5.0,Berechnung,MAB,Hamburg Port Authority Deponie Francop,06-02-B97205H003,9.85730613670365,53.5139350392982,"Aluminiumstraße 2
21129 Hamburg",Hamburg,Elbe/Labe,Hamburg Port Authority,Hamburg Port Authority,Hamburg Port Authority,3821,Behandlung und Beseitigung nicht gefährlicher Abfälle,Deponien > 10 t/d Aufnahmekapazität oder > 25.000 t Gesamtkapazität,,Abfall- und Abwasserbewirtschaftung
