betriebe_id,jahr,menge,gefaehrlich,ins_ausland,disposition,bestimmungsmethode,bestimmungsverfahren,entsorger,entsorgungsort,name,kennnummer,wgs84_x,wgs84_y,anschrift,bundesland,flusseinzugsgebiet,muttergesellschaft,eigentuemer,betreiber,nace_code,nace_text,prtr_beschreibung,ivu_beschreibung,branchengruppe
176762,2013,90.0,TRUE,TRUE,Zur Beseitigung,Messung,Wiegen (M),Valorec Services AG RSMVAPostfach 1184019 BaselSchweiz,"Postfach 118
4019 Basel
Schweiz",Evonik Industries AG Werk Süd,06-08-4244052,7.79409782612505,47.5637746433346,"Friedrichstrasse 48
79618 Rheinfelden",Baden-Württemberg,Rhein,Evonik Industries AG Werk Süd,Evonik Industries,Evonik Degussa GmbH,2014,Herstellung von sonstigen organischen Grundstoffen und Chemikalien,Chemieanlagen zur industriellen Herstellung von organischen Grundchemikalien,,Chemische Industrie
127054,2008,206.0,TRUE,TRUE,Zur Beseitigung,Messung,Wiegen (M),"CIMO Compagnie industrielle de Monthey SA
I'lles-au Bois
CH 1870 Monthey
Schweiz","I'lles-au Bois
CH 1870 Monthey
Schweiz",Ciba Grenzach GmbH,06-08-4033027,7.65433159767933,47.549910381544,"Koechlinstr. 1
79639 Grenzach-Wyhlen",Baden-Württemberg,Rhein,"Ciba Basel AG, Basel, CH Ciba Holding Deutschland GmbH, Lampertheim",,,2012,Herstellung von Farbstoffen und Pigmenten,Chemieanlagen zur industriellen Herstellung von organischen Grundchemikalien,Herstellung von Farbstoffen und Pigmenten,Chemische Industrie
103946,2007,3210.0,TRUE,TRUE,Zur Beseitigung,Messung,Wiegen (M),"Kommunekemi a/s
Lindholmvej 3
5800 Nyborg
Dänemark","Lindholmvej 3
5800 Nyborg
Dänemark",BASF Schwarzheide GmbH,12-40669070000,13.8893715283799,51.478473409553,"Schipkauer Straße 1
01986 Schwarzheide",Brandenburg,Elbe/Labe,BASF Schwarzheide GmbH,,,2016,Herstellung von Kunststoffen in Primärformen,Herstellung sauerstoffhaltiger KW,Herstellung sauerstoffhaltiger KW,Chemische Industrie
185338,2014,101.0,TRUE,TRUE,Zur Beseitigung,Messung,Wiegen (M),Lonza AG Walliser WerkeLonzastrasse 13930 VispSchweiz,"Lonzastrasse 1
3930 Visp
Schweiz",Evonik Degussa GmbH,11843,12.2960597503341,51.641003609571,"Straße am Landgraben 8
06749 Bitterfeld",Sachsen-Anhalt,Elbe/Labe,Evonik Degussa GmbH,Evonik Industries,Evonik Degussa GmbH,2013,Herstellung von sonstigen anorganischen Grundstoffen und Chemikalien,Chemieanlagen zur industriellen Herstellung von anorganischen Grundchemikalien,,Chemische Industrie
180681,2014,9510.0,TRUE,TRUE,Zur Beseitigung,Messung,Wiegen (M),"NORDGROUP a/sLindholmvej 35800 Nyborg, Mette ClemensenDänemark","Lindholmvej 3
5800 Nyborg, Mette Clemensen
Dänemark",BASF Schwarzheide GmbH,12-40669070000,13.8893715283799,51.478473409553,"Schipkauer Straße 1
01987 Schwarzheide",Brandenburg,Elbe/Labe,BASF Schwarzheide GmbH,BASF Schwarzheide GmbH,BASF Schwarzheide GmbH,2016,Herstellung von Kunststoffen in Primärformen,Herstellung von Basiskunststoffen,,Chemische Industrie
162022,2007,3810.0,TRUE,TRUE,Zur Beseitigung,Messung,Wiegen (M),"SolViin GmbH & Co. KG
Scheldelaan660-Haven 725
B-2040 Antwerpen
Belgien","Scheldelaan 600 - Haven 725
B-2040 Antwerpen
Belgien",SolVin GmbH & Co. KG,06-05-100-0989148,6.5772696444161,51.5611174639471,"Ludwigstr. 12
47495 Rheinberg",Nordrhein-Westfalen,Rhein,Solvay GmbH BASF Ludwigshafen,,,2016,Herstellung von Kunststoffen in Primärformen,Herstellung von Basiskunststoffen,Herstellung von Basiskunststoffen,Chemische Industrie
124099,2007,1720.0,TRUE,TRUE,Zur Beseitigung,Messung,Wiegen (M),"CIMO Compagnie industrielle de Monthey SA
I'lles-au Bois
CH 1870 Monthey
Schweiz","I'lles-au Bois
CH 1870 Monthey
Schweiz",Ciba Grenzach GmbH,06-08-4033027,7.65433159767933,47.549910381544,"Koechlinstr. 1
79639 Grenzach-Wyhlen",Baden-Württemberg,Rhein,"Ciba Basel AG, Basel, CH Ciba Holding Deutschland GmbH, Lampertheim",,,2012,Herstellung von Farbstoffen und Pigmenten,Chemieanlagen zur industriellen Herstellung von organischen Grundchemikalien,Herstellung org. Grundchemikalien,Chemische Industrie
180681,2014,272.0,TRUE,TRUE,Zur Beseitigung,Messung,Wiegen (M),"TREDI SALAIS Zl Portuarie de Salaise-sur-Sanne
519, rue Denis papin 1
58556 Saint maurice l'exil Cedex, Franck Germenaeu
Frankreich","519, rue Denis papin 1
58556 Saint maurice l'exil Cedex, Franck Germenaeu
Frankreich",BASF Schwarzheide GmbH,12-40669070000,13.8893715283799,51.478473409553,"Schipkauer Straße 1
01987 Schwarzheide",Brandenburg,Elbe/Labe,BASF Schwarzheide GmbH,BASF Schwarzheide GmbH,BASF Schwarzheide GmbH,2016,Herstellung von Kunststoffen in Primärformen,Herstellung von Basiskunststoffen,,Chemische Industrie
126792,2008,3180.0,TRUE,TRUE,Zur Beseitigung,Messung,Wiegen (M),"Deep Green
Torontostraat 2, havennr. 4544
NL-3197 KN Botleg
Niederlande","Torontostraat 2, havennr. 4544
NL-3197 KN Botleg
Niederlande",Evonik Degussa GmbH Werk Süd,06-08-4244052,7.79409782612505,47.5637746433346,"Friedrichstrasse 48
79618 Rheinfelden",Baden-Württemberg,Rhein,Evonik Degussa GmbH Werk Süd,,,2014,Herstellung von sonstigen organischen Grundstoffen und Chemikalien,Chemieanlagen zur industriellen Herstellung von organischen Grundchemikalien,Herstellung org. Grundchemikalien,Chemische Industrie
123623,2008,6780.0,TRUE,TRUE,Zur Beseitigung,Messung,Wiegen (M),"Kommunekemi a/s
Lindholmvej 3
5800 Nyborg
Dänemark","Lindholmvej 3
5800 Nyborg
Dänemark",BASF Schwarzheide GmbH,12-40669070000,13.8893715283799,51.478473409553,"Schipkauer Straße 1
01986 Schwarzheide",Brandenburg,Elbe/Labe,BASF Schwarzheide GmbH,,,2016,Herstellung von Kunststoffen in Primärformen,Herstellung sauerstoffhaltiger KW,Herstellung sauerstoffhaltiger KW,Chemische Industrie
126792,2008,358.0,TRUE,TRUE,Zur Beseitigung,Messung,Wiegen (M),Lonza AG Walliser WerkeLonzastrasse 13930 VispSchweiz,"Lonzatsraße
CH-3930 Visp
Schweiz",Evonik Degussa GmbH Werk Süd,06-08-4244052,7.79409782612505,47.5637746433346,"Friedrichstrasse 48
79618 Rheinfelden",Baden-Württemberg,Rhein,Evonik Degussa GmbH Werk Süd,,,2014,Herstellung von sonstigen organischen Grundstoffen und Chemikalien,Chemieanlagen zur industriellen Herstellung von organischen Grundchemikalien,Herstellung org. Grundchemikalien,Chemische Industrie
180681,2014,11300.0,TRUE,TRUE,Zur Beseitigung,Messung,Wiegen (M),"SITA REKEM Roussilon
Rue Gaston Monmousseau 1
38556 St. Maurice l' EXIL, Mikael Maout
Frankreich","Rue Gaston Monmousseau 1
38556 St. Maurice l' EXIL, Mikael Maout
Frankreich",BASF Schwarzheide GmbH,12-40669070000,13.8893715283799,51.478473409553,"Schipkauer Straße 1
01987 Schwarzheide",Brandenburg,Elbe/Labe,BASF Schwarzheide GmbH,BASF Schwarzheide GmbH,BASF Schwarzheide GmbH,2016,Herstellung von Kunststoffen in Primärformen,Herstellung von Basiskunststoffen,,Chemische Industrie
126792,2008,155.0,TRUE,TRUE,Zur Beseitigung,Messung,Wiegen (M),Valorec Services AG RSMVAPostfach 1184019 BaselSchweiz,"Postfach 118
CH-4019 Basel
Schweiz",Evonik Degussa GmbH Werk Süd,06-08-4244052,7.79409782612505,47.5637746433346,"Friedrichstrasse 48
79618 Rheinfelden",Baden-Württemberg,Rhein,Evonik Degussa GmbH Werk Süd,,,2014,Herstellung von sonstigen organischen Grundstoffen und Chemikalien,Chemieanlagen zur industriellen Herstellung von organischen Grundchemikalien,Herstellung org. Grundchemikalien,Chemische Industrie
123623,2008,581.0,TRUE,TRUE,Zur Beseitigung,Messung,Wiegen (M),TERIS RoussillonRue Gaston Monmousseau38154 RoussillonFrankreich,"Rue Gaston Monmousseau
38154 Rouillon, Frederic Quero
Frankreich",BASF Schwarzheide GmbH,12-40669070000,13.8893715283799,51.478473409553,"Schipkauer Straße 1
01986 Schwarzheide",Brandenburg,Elbe/Labe,BASF Schwarzheide GmbH,,,2016,Herstellung von Kunststoffen in Primärformen,Herstellung sauerstoffhaltiger KW,Herstellung sauerstoffhaltiger KW,Chemische Industrie
184632,2014,60.5,TRUE,TRUE,Zur Beseitigung,Messung,Wiegen (M),TERIS Specialitesplace Berthe Morizot 869800 Saint PriestFrankreich,"Place Berthe Morisot 8
69792 Saint Priest
Frankreich",BASF SE,07-05-8290552,8.42471749162398,49.5290998409897,"Carl-Bosch-Str. 38
67056 Ludwigshafen am Rhein",Rheinland-Pfalz,Rhein,BASF,BASF,BASF SE,2014,Herstellung von sonstigen organischen Grundstoffen und Chemikalien,Herstellung sauerstoffhaltiger KW,,Chemische Industrie
180805,2014,109.0,TRUE,TRUE,Zur Beseitigung,Messung,Wiegen (M),Valorec Services AG RSMVAPostfach 1184019 BaselSchweiz,"Postfach 118
4019 Basel
Schweiz",Evonik Industries AG Werk Süd,06-08-4244052,7.79409782612505,47.5637746433346,"Friedrichstrasse 48
79618 Rheinfelden",Baden-Württemberg,Rhein,Evonik Industries AG Werk Süd,Evonik Industries,Evonik Degussa GmbH,2014,Herstellung von sonstigen organischen Grundstoffen und Chemikalien,Chemieanlagen zur industriellen Herstellung von organischen Grundchemikalien,,Chemische Industrie
170512,2011,175.0,TRUE,TRUE,Zur Beseitigung,Messung,Wiegen (M),Valorec Services AG RSMVAPostfach 1184019 BaselSchweiz,"Postfach 118
4019 Basel
Schweiz",Evonik Industries AG Werk Süd,06-08-4244052,7.79409782612505,47.5637746433346,"Friedrichstrasse 48
79618 Rheinfelden (Baden)",Baden-Württemberg,Rhein,Evonik Industries AG Werk Süd,Evonik Industires AG,Evonik Degussa GmbH,2014,Herstellung von sonstigen organischen Grundstoffen und Chemikalien,Chemieanlagen zur industriellen Herstellung von organischen Grundchemikalien,Herstellung von metallorganischen Verbindungen,Chemische Industrie
123623,2008,1340.0,TRUE,TRUE,Zur Beseitigung,Messung,Wiegen (M),"SAPRI Dabrowa Gomicza
ul Koksownicza 16
42-523 Dabrowa Gomicza
Polen","ul Koksownicza 16
42-523 Dabrowa Gomicza
Polen",BASF Schwarzheide GmbH,12-40669070000,13.8893715283799,51.478473409553,"Schipkauer Straße 1
01986 Schwarzheide",Brandenburg,Elbe/Labe,BASF Schwarzheide GmbH,,,2016,Herstellung von Kunststoffen in Primärformen,Herstellung sauerstoffhaltiger KW,Herstellung sauerstoffhaltiger KW,Chemische Industrie
170512,2011,541.0,TRUE,TRUE,Zur Beseitigung,Messung,Wiegen (M),Lonza AG Walliser WerkeLonzastrasse 13930 VispSchweiz,"Lonzastraße 1
3930 Visp
Schweiz",Evonik Industries AG Werk Süd,06-08-4244052,7.79409782612505,47.5637746433346,"Friedrichstrasse 48
79618 Rheinfelden (Baden)",Baden-Württemberg,Rhein,Evonik Industries AG Werk Süd,Evonik Industires AG,Evonik Degussa GmbH,2014,Herstellung von sonstigen organischen Grundstoffen und Chemikalien,Chemieanlagen zur industriellen Herstellung von organischen Grundchemikalien,Herstellung von metallorganischen Verbindungen,Chemische Industrie
136887,2011,9860.0,TRUE,TRUE,Zur Beseitigung,Messung,Wiegen (M),"Kommunekemi a/s
Lindholmvej 3
5800 Nyborg
Dänemark","Lindholmvej 3
5800 Nyborg
Dänemark",BASF Schwarzheide GmbH,12-40669070000,13.8893715283799,51.478473409553,"Schipkauer Straße 1
01986 Schwarzheide",Brandenburg,Elbe/Labe,BASF Schwarzheide GmbH,BASF Schwarzheide GmbH,BASF Schwarzheide GmbH,2016,Herstellung von Kunststoffen in Primärformen,Herstellung von Basiskunststoffen,Herstellung von Basiskunststoffen,Chemische Industrie
123875,2007,775.0,TRUE,TRUE,Zur Beseitigung,Messung,Wiegen (M),"Deep Green b.v.Torontostraat 2, havennr. 4544NL-3197 KN BotlekNiederlande","Torontostraat 2, hevennr. 4544
NL-3197 KN Botlek
Niederlande",Evonik Degussa GmbH Werk Rheinfelden,06-08-4243978,7.80476103374829,47.5683942917667,"Untere Kanalstraße 3
79618 Rheinfelden",Baden-Württemberg,Rhein,Evonik Industries AG,Evonik Industries AG,Evonik Degussa GmbH Werk Rheinfelden,2013,Herstellung von sonstigen anorganischen Grundstoffen und Chemikalien,Chemieanlagen zur industriellen Herstellung von anorganischen Grundchemikalien,Herstellung anorg. Grundchemikalien,Chemische Industrie
136887,2011,3150.0,TRUE,TRUE,Zur Beseitigung,Messung,Wiegen (M),TERIS RoussillonRue Gaston Monmousseau38154 RoussillonFrankreich,"TERIS Roussillon 1
38154 Poullion Frederic Quero
Frankreich",BASF Schwarzheide GmbH,12-40669070000,13.8893715283799,51.478473409553,"Schipkauer Straße 1
01986 Schwarzheide",Brandenburg,Elbe/Labe,BASF Schwarzheide GmbH,BASF Schwarzheide GmbH,BASF Schwarzheide GmbH,2016,Herstellung von Kunststoffen in Primärformen,Herstellung von Basiskunststoffen,Herstellung von Basiskunststoffen,Chemische Industrie
