betriebe_id,jahr,jahresfracht,stoff_name,stoff_gruppe,stoff_schwellenwert,bestimmungsmethode,bestimmungsverfahren,name,kennnummer,wgs84_x,wgs84_y,anschrift,bundesland,flusseinzugsgebiet,muttergesellschaft,eigentuemer,betreiber,nace_code,nace_text,prtr_beschreibung,ivu_beschreibung,branchengruppe
85802,2007,48,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,OTH (M),"Clariant Produkte (Deutschland) GmbH, Standort Rhein-Main, Betriebsteil Frankfurt-Höchst",06-70007370412,8.5249980413293,50.091226337502,"Brüningstraße 50
65929 Frankfurt am Main, St.",Hessen,Rhein,Clariant Verwaltungsgesellschaft mbH + Clariant AG,Clariant Produkte (Deutschland) GmbH,Clariant Produkte (Deutschland) GmbH,2012,Herstellung von Farbstoffen und Pigmenten,Herstellung von Farbstoffen und Pigmenten,Herstellung von Farbstoffen und Pigmenten,Chemische Industrie
176297,2012,8.2,Arsen und Verbindungen (als As),Schwermetalle,5.0,Berechnung,OTH (C),Bayer MaterialScience AG,06-05-100-9021121,6.66238453153661,51.3681904153109,"Rheinuferstraße 7-9
47829 Krefeld",Nordrhein-Westfalen,Rhein,Bayer MaterialScience AG,Bayer MaterialScience AG,Bayer MaterialScience AG,2014,Herstellung von sonstigen organischen Grundstoffen und Chemikalien,Herstellung von Basiskunststoffen,Herstellung von Basiskunststoffen,Chemische Industrie
165001,2008,15.1,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,OTH (M),Bayer Schering Pharma AG,06-05-100-0054662,7.11678529310692,51.2492699434692,"Friedrich-Ebert-Str. 217-333
42117 Wuppertal",Nordrhein-Westfalen,Rhein,Bayer HealthCare AG,,,2110,Herstellung von pharmazeutischen Grundstoffen,Herstellung von Grundarzneimitteln,Herstellung von Grundarzneimitteln,Chemische Industrie
54696,2009,5.2,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,ALT,W. C.  Heraeus GmbH,06-00086010435,8.92977207066508,50.1335680281843,"Heraeusstraße 12-14
63450 Hanau",Hessen,Rhein,W. C. Heraeus GmbH,W. C. Heraeus GmbH,W. C. Heraeus GmbH,2445,Erzeugung und erste Bearbeitung von sonstigen NE-Metallen,Herstellung von Nichtmetallen und Metalloxiden,Herstellung einfacher KW,Chemische Industrie
84906,2011,18.6,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,INT (M) CEN/ISO,Fluorchemie GmbH Frankfurt,06-00457010412,8.5395242205836,50.0948899944955,"Brüningstraße 50
65929 Frankfurt am Main, St.",Hessen,Rhein,Fluorchemie GmbH Frankfurt,Fluorchemie GmbH Frankfurt,Fluorchemie GmbH Frankfurt,2014,Herstellung von sonstigen organischen Grundstoffen und Chemikalien,Herstellung halogenhaltiger KW,Herstellung halogenhaltiger KW,Chemische Industrie
175371,2012,15.3,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,INT (M) CEN/ISO,Bayer Pharma AG,06-05-100-0054662,7.11678529310692,51.2492699434692,"Friedrich-Ebert-Str. 217-333
42117 Wuppertal",Nordrhein-Westfalen,Rhein,Bayer HealthCare AG,Bayer Pharma AG,Bayer Pharma AG,2110,Herstellung von pharmazeutischen Grundstoffen,Herstellung von Grundarzneimitteln,Herstellung von Grundarzneimitteln,Chemische Industrie
172583,2011,15.4,Arsen und Verbindungen (als As),Schwermetalle,5.0,Berechnung,OTH (C),Bayer MaterialScience AG,06-05-100-9021121,6.66238453153661,51.3681904153109,"Rheinuferstraße 7-9
47829 Krefeld",Nordrhein-Westfalen,Rhein,Bayer MaterialScience AG,Bayer MaterialScience AG,Bayer MaterialScience AG,2014,Herstellung von sonstigen organischen Grundstoffen und Chemikalien,Herstellung von Basiskunststoffen,Herstellung von Basiskunststoffen,Chemische Industrie
54676,2009,39.7,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,OTH (M),Clariant Produkte (Deutschland) GmbH   Höchst,06-70007370412,8.5249980413293,50.091226337502,"Brüningstraße 50
65929 Frankfurt am Main, St.",Hessen,Rhein,Clariant Produkte (Deutschland) GmbH,Clariant Produkte (Deutschland) GmbH,Clariant Produkte (Deutschland) GmbH,2012,Herstellung von Farbstoffen und Pigmenten,Herstellung von Farbstoffen und Pigmenten,Herstellung von Farbstoffen und Pigmenten,Chemische Industrie
157726,2012,34.8,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,INT (M) CEN/ISO,Clariant Produkte (Deutschland) GmbH   Höchst,06-70007370412,8.52496243761356,50.0912551433198,"Brüningstraße 50
65929 Frankfurt am Main, St.",Hessen,Rhein,Clariant Produkte (Deutschland) GmbH,Clariant Produkte (Deutschland) GmbH,Clariant Produkte (Deutschland) GmbH,2012,Herstellung von Farbstoffen und Pigmenten,Herstellung von Farbstoffen und Pigmenten,Herstellung von Farbstoffen und Pigmenten,Chemische Industrie
78333,2010,59.1,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,INT (M) CEN/ISO,Clariant Produkte (Deutschland) GmbH   Höchst,06-70007370412,8.5249980413293,50.091226337502,"Brüningstraße 50
65929 Frankfurt am Main, St.",Hessen,Rhein,Clariant Produkte (Deutschland) GmbH,Clariant Produkte (Deutschland) GmbH,Clariant Produkte (Deutschland) GmbH,2012,Herstellung von Farbstoffen und Pigmenten,Herstellung von Farbstoffen und Pigmenten,Herstellung von Farbstoffen und Pigmenten,Chemische Industrie
