betriebe_id,jahr,kompartiment,jahresfracht,jahresfracht_versehentlich,jahresfracht_nichtbiogen,stoff_name,stoff_gruppe,stoff_casnummer,stoff_schwellenwert,bestimmungsmethode,bestimmungsverfahren,name,kennnummer,wgs84_x,wgs84_y,anschrift,bundesland,flusseinzugsgebiet,muttergesellschaft,eigentuemer,betreiber,nace_code,nace_text,prtr_beschreibung,ivu_beschreibung,branchengruppe
155485,2010,Luft,156000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),VASA Kraftwerke-Pool GmbH & Co. KG,17357,11.8342279188017,52.6061243226568,"Schillerstraße -
39576 Stendal",Sachsen-Anhalt,Elbe/Labe,VASA Kraftwerke-Pool GmbH & Co. KG,VASA Kraftwerke-Pool GmbH & Co. KG,"Stadtwerke-Altmärkische Gas-, Wasser- und Elektrizitätswerke GmbH Stendal",3511,Elektrizitätserzeugung,Verbrennungsanlagen > 50 MW,Verbrennungsanlagen > 50 MW,Energiesektor
161773,2007,Luft,125000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Schätzung,Sonstiges (E),"E.ON Ruhrgas AG, Unterreit Speicher Bierwang",06-09-810-0001-0001,12.4034793472834,48.1269386909307,"Bierwang -
83567 Unterreit",Bayern,Donau,E.ON Ruhrgas AG,E.ON Ruhrgas AG,E.ON Ruhrgas AG,3523,Gashandel durch Rohrleitungen,Verbrennungsanlagen > 50 MW,Verbrennungsanlagen > 50 MW,Energiesektor
54783,2009,Luft,200000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Messung,OTH (M),InfraServ GmbH & Co. Höchst KG,06-00453010412,8.536861680861,50.0883883628986,"Brüningstraße 50
65926 Frankfurt am Main, St.",Hessen,Rhein,Infraserv GmbH & Co. Höchst KG,Infraserv GmbH & Co. Höchst KG,Infraserv GmbH & Co. Höchst KG,3530,Wärme- und Kälteversorgung,Verbrennungsanlagen > 50 MW,Verbrennungsanlagen > 50 MW,Energiesektor
166045,2009,Luft,135000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Schätzung,Sonstiges (E),"E.ON Gas Storage GmbH, Bierwang",06-09-810-0001-0001,12.4034793472834,48.1269386909307,"Bierwang -
83567 Unterreit",Bayern,Donau,E.ON Gas Storage GmbH,E.ON Gas Storage GmbH,E.ON Gas Storage GmbH,3523,Gashandel durch Rohrleitungen,Verbrennungsanlagen > 50 MW,Verbrennungsanlagen > 50 MW,Energiesektor
65660,2008,Luft,182000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),VASA Kraftwerke-Pool GmbH & Co. KG; Stadtwerke Stendal,17357,11.8342423992039,52.6061254213636,"Schillerstraße -
39576 Stendal",Sachsen-Anhalt,Elbe/Labe,"VASA Kraftwerke-Pool GmbH & Co. KG, Stadtwerke Stendal",VASA Kraftwerke-Pool GmbH & Co. KG,"Stadtwerke-Altmärkische Gas-, Wasser- und Elektrizitätswerke GmbH Stendal",3511,Elektrizitätserzeugung,Verbrennungsanlagen > 50 MW,Verbrennungsanlagen > 50 MW,Energiesektor
175984,2012,Luft,163000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),STEAG GmbH Heizkraftwerk Walsum,06-05-100-0365906,6.71961908206988,51.5260017764916,"Dr.-Wilhelm-Roelen-Str. 129
47179 Duisburg",Nordrhein-Westfalen,Rhein,STEAG GmbH,STEAG GmbH,STEAG GmbH,3511,Elektrizitätserzeugung,Verbrennungsanlagen > 50 MW,Verbrennungsanlagen > 50 MW,Energiesektor
66892,2009,Luft,151000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),GDF SUEZ Kraftwerk Farge GmbH,06-04-11/2039669/2/0,8.51615392558254,53.202066528055,"Wilhelmshavener Straße 6
28777 Bremen",Bremen,Weser,GDF SUEZ Kraftwerk Farge GmbH,GDF SUEZ Kraftwerk Farge GmbH,GDF SUEZ Kraftwerk Farge GmbH,3511,Elektrizitätserzeugung,Verbrennungsanlagen > 50 MW,Verbrennungsanlagen > 50 MW,Energiesektor
165981,2009,Luft,700000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Schätzung,Sonstiges (E),Flughafen München GmbH - Energiezentrale,06-09-178-0722-0001,11.7671441028026,48.3572799739746,"Nordallee -
85356 Freising",Bayern,Donau,Flughafen München GmbH,Flughafen München GmbH,Flughafen München GmbH,5223,Erbringung von sonstigen Dienstleistungen für die Luftfahrt,Verbrennungsanlagen > 50 MW,Verbrennungsanlagen > 50 MW,Energiesektor
66910,2009,Luft,247000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),swb Erzeugung GmbH & Co KG / Heizkraftwerk Hafen,06-04-11/2001178/8/1,8.72732620918963,53.1238880165845,"Otavi-Straße 9
28237 Bremen",Bremen,Weser,swb Erzeugung GmbH & Co KG / Heizkraftwerk Hafen,swb Erzeugung GmbH & Co.KG,swb Erzeugung GmbH & Co.KG,3511,Elektrizitätserzeugung,Verbrennungsanlagen > 50 MW,Verbrennungsanlagen > 50 MW,Energiesektor
171831,2011,Luft,102000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),EMPG Betrieb Dötlingen Gasproduktion West Untergrundspeicher,03-31-31000006297,8.35172518571611,52.9459714850538,"Zum Poggenpohlsand 7
27801 Dötlingen",Niedersachsen,Weser,ExxonMobil Production Deutschland GmbH,BEB Erdgas und Erdöl GmbH,ExxonMobil Production Deutschland GmbH,3522,Gasverteilung durch Rohrleitungen,Verbrennungsanlagen > 50 MW,Verbrennungsanlagen > 50 MW,Energiesektor
