betriebe_id,jahr,kompartiment,jahresfracht,jahresfracht_versehentlich,jahresfracht_nichtbiogen,stoff_name,stoff_gruppe,stoff_casnummer,stoff_schwellenwert,bestimmungsmethode,bestimmungsverfahren,name,kennnummer,wgs84_x,wgs84_y,anschrift,bundesland,flusseinzugsgebiet,muttergesellschaft,eigentuemer,betreiber,nace_code,nace_text,prtr_beschreibung,ivu_beschreibung,branchengruppe
155490,2010,Luft,169000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),Schweinemast GmbH Loburg,16447,12.0706849620752,52.0884779551434,"Lindauer Chaussee -
39279 Loburg",Sachsen-Anhalt,Elbe/Labe,Schweinemast GmbH Loburg,,,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,Intensivhaltung oder -aufzucht von Mastschweinen,Intensivtierhaltung und Aquakultur
124941,2007,Luft,126000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),Tierzucht Gut Losten GmbH & Co. KG Schweinemast- und Sauenanlage,13-40-1358024,11.4651417696963,53.8000901277913,"Häuslerreihe 28
23996 Bad Kleinen",Mecklenburg-Vorpommern,Elbe/Labe,Tierzucht Gut Losten GmbH & Co. KG,Tierzucht Gut Losten GmbH & Co. KG,Tierzucht Gut Losten GmbH & Co. KG,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 750 Sauen,Intensivhaltung oder -aufzucht von Sauen,Intensivtierhaltung und Aquakultur
148655,2013,Luft,104000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Schätzung,Sonstiges (E),"Rinder- u. Schweinemastanlage Streufdorf Agrar GmbH ""Am Straufhain""",16-80-42324103071,10.6900157578466,50.3593812408307,"Steinfelder Straße 2
98646 Straufhain",Thüringen,Rhein,"Agrar GmbH ""Am Straufhain"" GF Herr Koch","Agrar GmbH ""Am Straufhain""","Agrar GmbH ""Am Straufhain""",146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,,Intensivtierhaltung und Aquakultur
5118,2007,Luft,3120000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),Hähnchenmast Walter Puritz,13317,11.3400487323105,52.2869337935614,"Heinrichshöhe -
39343 Süplingen",Sachsen-Anhalt,Elbe/Labe,Hähnchenmast Walter Puritz,,,147,Haltung von Geflügel,Intensivhaltung oder -aufzucht von > 40.000 Geflügel,Intensivhaltung oder -aufzucht von Geflügel,Intensivtierhaltung und Aquakultur
45853,2007,Luft,107000.0,,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),BUDISSA Agrar GmbH,14-10-45518790001,14.5669676950343,51.1629225909668,"- -
02627 Hochkirch",Sachsen,Elbe/Labe,BUDISSA Agrar GmbH,,,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,Intensivhaltung oder -aufzucht von Mastschweinen,Intensivtierhaltung und Aquakultur
56225,2010,Luft,143000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),BLF Schweineaufzucht GmbH Bernitt,13-30-556,11.8990333941914,53.9208957646202,"Bützower Straße Ausbau 52
18249 Bernitt",Mecklenburg-Vorpommern,Warnow/Peene,BLF Schweineaufzucht GmbH Bernitt,BLF Schweineaufzucht GmbH Bernitt,BLF Schweineaufzucht GmbH Bernitt,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,Intensivhaltung oder -aufzucht von Mastschweinen,Intensivtierhaltung und Aquakultur
45784,2007,Luft,176000.0,,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),"Agrargenossenschaft Eppendorf e,G.",14-20-48428470000,13.2344567379925,50.7995301752007,"Freiberger Straße 35
09575 Eppendorf",Sachsen,Elbe/Labe,"Agrargenossenschaft Eppendorf e,G.",,,147,Haltung von Geflügel,Intensivhaltung oder -aufzucht von > 40.000 Geflügel,,Intensivtierhaltung und Aquakultur
5044,2007,Luft,189000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),Bördeland Landwirtschaftliche Gesellschaft mbH,11502,11.8608029825087,52.2636670320003,"Zerbster Chaussee 10 -
39288 Burg",Sachsen-Anhalt,Elbe/Labe,Bördeland Landwirtschaftliche Gesellschaft mbH,,,147,Haltung von Geflügel,Intensivhaltung oder -aufzucht von > 40.000 Geflügel,Intensivhaltung oder -aufzucht von Geflügel,Intensivtierhaltung und Aquakultur
32476,2008,Luft,119000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),Van Asten Tierzucht Nordhausen GmbH & Co. KG,16-83-75593950001,10.7893409342872,51.4803455801168,"Kommunikationsweg 11
99734 Nordhausen",Thüringen,Elbe/Labe,Van Asten Tierzucht Nordhausen GmbH & Co. KG,,,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 750 Sauen,Intensivhaltung oder -aufzucht von Sauen,Intensivtierhaltung und Aquakultur
155738,2010,Luft,101000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),SAZA GmbH Großkayna,16147,11.9225363251098,51.2719325096303,Naumburger Str. 8706242 Großkayna,Sachsen-Anhalt,Elbe/Labe,SAZA GmbH Großkayna,,,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,Intensivhaltung oder -aufzucht von Mastschweinen,Intensivtierhaltung und Aquakultur
45059,2009,Luft,143000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),BLF Schweineaufzucht GmbH Bernitt,13-30-556,11.8990333941914,53.9208957646202,"Bützower Straße Ausbau 52
18249 Bernitt",Mecklenburg-Vorpommern,Warnow/Peene,BLF Schweineaufzucht GmbH Bernitt,BLF Schweineaufzucht GmbH Bernitt,BLF Schweineaufzucht GmbH Bernitt,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,Intensivhaltung oder -aufzucht von Mastschweinen,Intensivtierhaltung und Aquakultur
5017,2007,Luft,122000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),Agrarprodukt GmbH Zilly,10491,10.8203677248443,51.9500550222098,Heudeber Weg 4 -38835 Zilly,Sachsen-Anhalt,Elbe/Labe,Agrarprodukt GmbH Zilly,,,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,Intensivhaltung oder -aufzucht von Mastschweinen,Intensivtierhaltung und Aquakultur
180688,2014,Luft,104000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),Schweinezucht- und Mastanlage Tornitz,12-40660080000,14.0911301089295,51.7534446852538,"Tornitzer Straße 11
03226 Vetschau/Spreewald",Brandenburg,Elbe/Labe,Bolart Schweineproduktionsanlagen GmbH,Eric Arts / Mark Bolder,Eric Arts / Mark Bolder,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 750 Sauen,,Intensivtierhaltung und Aquakultur
65705,2008,Luft,202000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),Schweinemast GmbH Loburg,16447,12.0707080285396,52.0884794216864,"Lindauer Chaussee -
39279 Loburg",Sachsen-Anhalt,Elbe/Labe,Schweinemast GmbH Loburg,,,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,Intensivhaltung oder -aufzucht von Mastschweinen,Intensivtierhaltung und Aquakultur
161207,2013,Luft,101000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),Tierzucht Gut Losten GmbH & Co. KG Schweinemast- und Sauenanlage,13-40-1358024,11.4651480454581,53.800095411455,"Häuslerreihe 28
23996 Bad Kleinen",Mecklenburg-Vorpommern,Elbe/Labe,Tierzucht Gut Losten GmbH & Co. KG,Herrn Alwin Neteler,Tierzucht Gut Losten GmbH & Co. KG,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,,Intensivtierhaltung und Aquakultur
140045,2012,Luft,104000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),Schweinezucht- und Mastanlage Tornitz,12-40660080000,14.0911301089295,51.7534446852538,"Tornitzer Straße 11
03226 Vetschau/Spreewald",Brandenburg,Elbe/Labe,Bolart Schweineproduktionsanlagen GmbH,Eric Arts / Mark Bolder,Eric Arts / Mark Bolder,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 750 Sauen,Intensivhaltung oder -aufzucht von Sauen,Intensivtierhaltung und Aquakultur
103954,2007,Luft,132000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),Schweinezucht- und Mastanlage Tornitz,12-40660080000,14.0911301089295,51.7534446852538,"Tornitzer Straße 1
03226 Vetschau/Spreewald",Brandenburg,Elbe/Labe,Bolart Schweineproduktionsanlagen GmbH,,,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 750 Sauen,Intensivhaltung oder -aufzucht von Sauen,Intensivtierhaltung und Aquakultur
143843,2013,Luft,104000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),Schweinezucht- und Mastanlage Tornitz,12-40660080000,14.0911301089295,51.7534446852538,"Tornitzer Straße 11
03226 Vetschau/Spreewald",Brandenburg,Elbe/Labe,Bolart Schweineproduktionsanlagen GmbH,Eric Arts / Mark Bolder,Eric Arts / Mark Bolder,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 750 Sauen,,Intensivtierhaltung und Aquakultur
5191,2007,Luft,156000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),vertraulich,16447,12.0707080285396,52.0884794216864,,Sachsen-Anhalt,Elbe/Labe,,,,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,Intensivhaltung oder -aufzucht von Mastschweinen,Intensivtierhaltung und Aquakultur
45171,2009,Luft,140000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),Tierzucht Gut Losten GmbH & Co. KG Schweinemast- und Sauenanlage,13-40-1358024,11.4651244956442,53.8000893131065,"Häuslerreihe 28
23996 Bad Kleinen",Mecklenburg-Vorpommern,Elbe/Labe,Tierzucht Gut Losten GmbH & Co. KG,Tierzucht Gut Losten GmbH & Co. KG,Tierzucht Gut Losten GmbH & Co. KG,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,Intensivhaltung oder -aufzucht von Mastschweinen,Intensivtierhaltung und Aquakultur
155706,2010,Luft,108000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),Schweinezucht Gladau GmbH,10098,12.0957196380552,52.3175961993461,Fiener Str. 139307 Gladau,Sachsen-Anhalt,Elbe/Labe,Schweinezucht Gladau GmbH,,,146,Haltung von Schweinen,Anlagen zur Intensivhaltung oder -aufzucht von Geflügel oder Schweinen,Intensivhaltung oder -aufzucht von Sauen,Intensivtierhaltung und Aquakultur
34389,2008,Luft,143000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),BLF Schweineaufzucht GmbH Bernitt,13-30-556,11.8991714628598,53.9204466575692,"Bützower Straße Ausbau 52
18249 Bernitt",Mecklenburg-Vorpommern,Warnow/Peene,BLF Schweineaufzucht GmbH Bernitt,,,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,Intensivhaltung oder -aufzucht von Mastschweinen,Intensivtierhaltung und Aquakultur
56198,2010,Luft,140000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),Tierzucht Gut Losten GmbH & Co. KG Schweinemast- und Sauenanlage,13-40-1358024,11.4651244956442,53.8000893131065,"Häuslerreihe 28
23996 Bad Kleinen",Mecklenburg-Vorpommern,Elbe/Labe,Tierzucht Gut Losten GmbH & Co. KG Herr Neteler,Tierzucht Gut Losten GmbH & Co. KG,Tierzucht Gut Losten GmbH & Co. KG,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,Intensivhaltung oder -aufzucht von Mastschweinen,Intensivtierhaltung und Aquakultur
34342,2008,Luft,140000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),Tierzucht Gut Losten GmbH & Co. KG Schweinemast- und Sauenanlage,13-40-1358024,11.4651244956442,53.8000893131065,"Häuslerreihe 28
23996 Bad Kleinen / OT Losten",Mecklenburg-Vorpommern,Elbe/Labe,Tierzucht Gut Losten GmbH & Co. KG,Tierzucht Gut Losten GmbH & Co. KG,Tierzucht Gut Losten GmbH & Co. KG,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,Intensivhaltung oder -aufzucht von Mastschweinen,Intensivtierhaltung und Aquakultur
163054,2007,Luft,204000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),Hans Georg Andresen,01-40-59073193212,9.61005455820048,54.5433505931449,"Moldenit -
24882 Schaalby",Schleswig-Holstein,Schlei/Trave,Hans-Georg Andresen,Hans-Georg Andresen,Hans-Georg Andresen,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,Intensivhaltung oder -aufzucht von Mastschweinen,Intensivtierhaltung und Aquakultur
118799,2011,Luft,104000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Schätzung,,"Rinder- u. Schweinemastanlage Streufdorf Agrar GmbH ""Am Straufhain""",16-80-42324103071,10.6900327479051,50.3593804519237,"Steinfelder Straße 2
98646 Straufhain",Thüringen,Rhein,"Agrar GmbH ""Am Straufhain"" Streufdorf","Agrar GmbH ""Am Straufhain""","Agrar GmbH ""Am Straufhain""",141,Haltung von Milchkühen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,Intensivhaltung oder -aufzucht von Mastschweinen,Intensivtierhaltung und Aquakultur
156568,2011,Luft,102000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Berechnung,OTH (C),Tierzucht Gut Losten GmbH & Co. KG Schweinemast- und Sauenanlage,13-40-1358024,11.4651480454581,53.800095411455,"Häuslerreihe 28
23996 Bad Kleinen",Mecklenburg-Vorpommern,Elbe/Labe,Tierzucht Gut Losten GmbH & Co. KG Herr Neteler,Tierzucht Gut Losten GmbH & Co. KG,Tierzucht Gut Losten GmbH & Co. KG,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,Intensivhaltung oder -aufzucht von Mastschweinen,Intensivtierhaltung und Aquakultur
