betriebe_id,jahr,menge,gefaehrlich,ins_ausland,disposition,bestimmungsmethode,bestimmungsverfahren,entsorger,entsorgungsort,name,kennnummer,wgs84_x,wgs84_y,anschrift,bundesland,flusseinzugsgebiet,muttergesellschaft,eigentuemer,betreiber,nace_code,nace_text,prtr_beschreibung,ivu_beschreibung,branchengruppe
147765,2013,79.3,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,DMK Deutsches MilchkontorGmbH - Werk Nordhackstedt,01-40-59149248748,9.1618003320199,54.7358884055956,"Hasselbeker Ring 1
24980 Nordhackstedt",Schleswig-Holstein,Eider,DMK Deutsches Milchkontor GmbH,DMK Deutsches Milchkontor,DMK Deutsches Milchkontor,1051,Milchverarbeitung (ohne Herstellung von Speiseeis),Behandlung und Verarbeitung von Milch > 200 t/d,,Lebensmittelindustrie
174649,2012,95.6,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,Homann Feinkost GmbH,03-10-10285985240,8.19371359445305,52.1146802091615,"Bahnhofstraße 4
49201 Dissen",Niedersachsen,Ems,Homann Feinkost GmbH,Homann Feinkost GmbH,Homann Feinkost GmbH,1085,Herstellung von Fertiggerichten,Herstellung v. Nahrungsmitteln/Getränkeprodukten aus pflanzlichen Rohstoffen  > 300 t/d,Herstellung v. Nahrungsmitteln aus tieri. od. pflanzl. Rohst.,Lebensmittelindustrie
174646,2012,33.7,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,H. Kemper GmbH & Co.KG Fleischwarenfabrik,03-10-10285440400,7.85836095312749,52.6191198753611,"Hauptstraße 2
49638 Nortrup",Niedersachsen,Ems,H. Kemper GmbH & Co.KG Fleischwarenfabrik,H. Kemper GmbH & Co. KG,H. Kemper GmbH & Co. KG,1013,Fleischverarbeitung,Herstellung v. Nahrungsmitteln/Getränkeprodukten aus tierischen Rohstoffen > 75 t/d,Herstellung v. Nahrungsmitteln aus tieri. od. pflanzl. Rohst.,Lebensmittelindustrie
185322,2014,1.8,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,"Südzucker AG Mannheim / Ochsenfurt, Werk Zeitz",16873,12.0883403042306,51.0269919244479,Albrechtstraße 54 -06712 Zeitz,Sachsen-Anhalt,Elbe/Labe,Südzucker AG Mannheim/Ochsenfurt Werk Zeitz,Südzucker AG,Südzucker AG  Werk Zeitz,1081,Herstellung von Zucker,Herstellung v. Nahrungsmitteln/Getränkeprodukten aus pflanzlichen Rohstoffen  > 300 t/d,,Lebensmittelindustrie
175359,2012,4.64,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,Heinrich Nölke GmbH & Co. Werk Nölke,06-05-754-9013695,8.13866307420431,52.0536460980079,"Ziegeleistr. 5
33775 Versmold",Nordrhein-Westfalen,Ems,Heinrich Nölke GmbH & Co.KG Werk Nölke,Heinrich Nölke GmbH & Co.KG Werk Nölke,Heinrich Nölke GmbH & Co.KG Werk Nölke,1013,Fleischverarbeitung,Herstellung v. Nahrungsmitteln/Getränkeprodukten aus tierischen Rohstoffen > 75 t/d,Herstellung v. Nahrungsmitteln aus tieri. od. pflanzl. Rohst.,Lebensmittelindustrie
163408,2008,9.0,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,Zott GmbH & Co. KG / Werk II,06-09-779-0160-0025,10.8112640828205,48.6649319995648,"Bäumenheimer Str. 25
86690 Mertingen",Bayern,Donau,Zott GmbH & Co. KG,Zott GmbH & Co. KG,Zott GmbH & Co. KG,1051,Milchverarbeitung (ohne Herstellung von Speiseeis),Behandlung und Verarbeitung von Milch > 200 t/d,Behandlung und Verarbeitung von Milch,Lebensmittelindustrie
184154,2014,0.54,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,Brauerei Mönchengladbach Zweigniederlassung der Oettinger Brauerei GmbH,06-05-116-0197195,6.47444237317418,51.2296035743052,"Senefelderstraße 29
41066 Mönchengladbach",Nordrhein-Westfalen,Maas,Brauerei Mönchengladbach Zweigniederlassung der Oettinger Brauerei GmbH,Brauerei Mönchengladbach Zweigniederlassung der Oettinger Brauerei GmbH,Brauerei Mönchengladbach Zweigniederlassung der Oettinger Brauerei GmbH,1105,Herstellung von Bier,Herstellung v. Nahrungsmitteln/Getränkeprodukten aus pflanzlichen Rohstoffen  > 300 t/d,,Lebensmittelindustrie
163279,2008,50.4,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,Karwendel-Werke Huber GmbH & Co. KG,06-09-777-0008-0001,10.7156536918483,48.0315513840518,"Karwendelstr. 6-16
86807 Buchloe",Bayern,Donau,Karwendel-Werke Huber GmbH & Co. KG,Dr. Wilfried Huber,Karwendel-Werke Huber GmbH & Co. KG,1051,Milchverarbeitung (ohne Herstellung von Speiseeis),Behandlung und Verarbeitung von Milch > 200 t/d,Behandlung und Verarbeitung von Milch,Lebensmittelindustrie
163436,2008,11.6,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,Staatliche Molkerei Weihenstephan GmbH & Co. KG,06-09-178-0728-0001,11.7308310601816,48.3795721297978,"Milchstraße 1
85354 Freising",Bayern,Donau,Unternehmensgruppe Theo Müller GmbH & Co. KG,Unternehmensgruppe Theo Müller GmbH & Co. KG Herr Theo Müller,Molkerei Weihenstephan GmbH & Co. KG Herr Stefan Halmel,1051,Milchverarbeitung (ohne Herstellung von Speiseeis),Behandlung und Verarbeitung von Milch > 200 t/d,Behandlung und Verarbeitung von Milch,Lebensmittelindustrie
147838,2013,18.3,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,DMK Deutsches Milchkontor GmbH ehem. Nordmilch,01-20-58077219880,9.65281397340061,54.0822235843316,"Itzehoer Str. 54
24594 Hohenwestedt",Schleswig-Holstein,Elbe/Labe,DMK Deutsches Milchkontor GmbH,DMK Deutsches Milchkontor,DMK Deutsches Milchkontor,1051,Milchverarbeitung (ohne Herstellung von Speiseeis),Behandlung und Verarbeitung von Milch > 200 t/d,,Lebensmittelindustrie
173323,2011,5.2,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,Westfleisch eG,06-05-558-0048787,7.12906175462934,51.9393397705597,"Stockum 2
48653 Coesfeld",Nordrhein-Westfalen,Rhein,Westfleisch eG,Westfleisch eG,Westfleisch eG,1011,Schlachten (ohne Schlachten von Geflügel),Schlachthöfe > 50 t/d,Schlachthöfe,Lebensmittelindustrie
174692,2012,47.9,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,Nordzucker AG Werk Uelzen,03-08-08271405180,10.5569774046222,52.9767199503003,"An der Zuckerfabrik 1
29525 Uelzen",Niedersachsen,Elbe/Labe,Nordzucker AG Werk Uelzen,Nordzucker AG,Nordzucker AG,1081,Herstellung von Zucker,Herstellung v. Nahrungsmitteln/Getränkeprodukten aus pflanzlichen Rohstoffen  > 300 t/d,Herstellung v. Nahrungsmitteln aus tieri. od. pflanzl. Rohst.,Lebensmittelindustrie
163455,2008,6.3,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,Südzucker Werk Ochsenfurt,06-09-679-0057-0002,10.0801583289279,49.6666365110085,"Marktbreiter Straße 74
97199 Ochsenfurt",Bayern,Rhein,SÜDZUCKER AG,Südzucker AG,SÜDZUCKER AG,1081,Herstellung von Zucker,Herstellung v. Nahrungsmitteln/Getränkeprodukten aus pflanzlichen Rohstoffen  > 300 t/d,Herstellung v. Nahrungsmitteln aus tieri. od. pflanzl. Rohst.,Lebensmittelindustrie
45970,2007,43.0,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,Sachsenmilch AG,14-10-51322590000,13.9792444381443,51.1511635984192,An den Breiten -01454 Wachau,Sachsen,Elbe/Labe,Sachsenmilch AG,,,1051,Milchverarbeitung (ohne Herstellung von Speiseeis),Behandlung und Verarbeitung von Milch > 200 t/d,Behandlung und Verarbeitung von Milch,Lebensmittelindustrie
