betriebe_id,jahr,jahresfracht,stoff_name,stoff_gruppe,stoff_schwellenwert,bestimmungsmethode,bestimmungsverfahren,name,kennnummer,wgs84_x,wgs84_y,anschrift,bundesland,flusseinzugsgebiet,muttergesellschaft,eigentuemer,betreiber,nace_code,nace_text,prtr_beschreibung,ivu_beschreibung,branchengruppe
164022,2008,588,Kupfer und Verbindungen (als Cu),Schwermetalle,50.0,Berechnung,NRB (C),AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,03-08-08080215580,11.1598955216215,52.9835657572258,"Am Rehbecker Weg -
29439 Lüchow (Wendland)",Niedersachsen,Elbe/Labe,,,,1062,Herstellung von Stärke und Stärkeerzeugnissen,Herstellung v. Nahrungsmitteln/Getränkeprodukten aus pflanzlichen Rohstoffen  > 300 t/d,Herstellung v. Nahrungsmitteln aus tieri. od. pflanzl. Rohst.,Lebensmittelindustrie
45741,2007,57.6,Kupfer und Verbindungen (als Cu),Schwermetalle,50.0,Messung,NRB (M),Feldschlößchen Aktiengesellschaft,14-50-51246148006,13.7112160973116,51.0151550934254,"Cunnersdorfer Str. 25
01189 Dresden",Sachsen,Elbe/Labe,Holsten-Brauerei AG,,,1105,Herstellung von Bier,Herstellung v. Nahrungsmitteln/Getränkeprodukten aus pflanzlichen Rohstoffen  > 300 t/d,Herstellung v. Nahrungsmitteln aus tieri. od. pflanzl. Rohst.,Lebensmittelindustrie
174788,2012,438,Kupfer und Verbindungen (als Cu),Schwermetalle,50.0,Berechnung,NRB (C),AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,03-08-08080215580,11.1598955216215,52.9835657572258,"Albrecht-Thaer-Str. 1
29439 Lüchow (Wendland)",Niedersachsen,Elbe/Labe,AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,1062,Herstellung von Stärke und Stärkeerzeugnissen,Herstellung v. Nahrungsmitteln/Getränkeprodukten aus pflanzlichen Rohstoffen  > 300 t/d,Herstellung v. Nahrungsmitteln aus tieri. od. pflanzl. Rohst.,Lebensmittelindustrie
152946,2008,194,Kupfer und Verbindungen (als Cu),Schwermetalle,50.0,Messung,OTH (M),Radeberger Gruppe KG c/o Radeberger Exportbierbrauerei,14-74-51080880000,13.9143147136507,51.1154053859544,"Dresdner Straße 2
01454 Radeberg",Sachsen,Elbe/Labe,Radeberger  Gruppe KG c/o Radeberger Exportbierbrauerei,Radeberger Gruppe KG,Radeberger Gruppe KG,1105,Herstellung von Bier,Herstellung v. Nahrungsmitteln/Getränkeprodukten aus pflanzlichen Rohstoffen  > 300 t/d,Herstellung v. Nahrungsmitteln aus tieri. od. pflanzl. Rohst.,Lebensmittelindustrie
152882,2008,63.5,Kupfer und Verbindungen (als Cu),Schwermetalle,50.0,Schätzung,Sonstiges (E),Feldschlößchen AG,14-71-51246148006,13.7111649901716,51.0151493671988,"Cunnersdorfer Str. 25
01189 Dresden",Sachsen,Elbe/Labe,Holsten-Brauerei AG,,,1105,Herstellung von Bier,Herstellung v. Nahrungsmitteln/Getränkeprodukten aus pflanzlichen Rohstoffen  > 300 t/d,Herstellung v. Nahrungsmitteln aus tieri. od. pflanzl. Rohst.,Lebensmittelindustrie
166614,2009,688,Kupfer und Verbindungen (als Cu),Schwermetalle,50.0,Berechnung,NRB (C),AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,03-08-08080215580,11.1598955216215,52.9835657572258,"Am Rehbecker Weg 0
29439 Lüchow (Wendland)",Niedersachsen,Elbe/Labe,AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,1062,Herstellung von Stärke und Stärkeerzeugnissen,Herstellung v. Nahrungsmitteln/Getränkeprodukten aus pflanzlichen Rohstoffen  > 300 t/d,Herstellung v. Nahrungsmitteln aus tieri. od. pflanzl. Rohst.,Lebensmittelindustrie
45866,2007,194,Kupfer und Verbindungen (als Cu),Schwermetalle,50.0,Messung,OTH (M),Radeberger Gruppe KG c/o Radeberger Exportbierbrauerei,14-10-51080880000,13.9143580802265,51.1154128712908,"Dresdner Straße 2
01454 Radeberg",Sachsen,Elbe/Labe,Radeberger  Gruppe KG c/o Radeberger Exportbierbrauerei,,,1105,Herstellung von Bier,Herstellung v. Nahrungsmitteln/Getränkeprodukten aus pflanzlichen Rohstoffen  > 300 t/d,Herstellung v. Nahrungsmitteln aus tieri. od. pflanzl. Rohst.,Lebensmittelindustrie
154016,2009,59.6,Kupfer und Verbindungen (als Cu),Schwermetalle,50.0,Schätzung,Sonstiges (E),Feldschlößchen Aktiengesellschaft,14-71-51246148006,13.7111649901716,51.0151493671988,"Cunnersdorfer Str. 25
01189 Dresden",Sachsen,Elbe/Labe,Holsten-Brauerei AG,,,1105,Herstellung von Bier,Herstellung v. Nahrungsmitteln/Getränkeprodukten aus pflanzlichen Rohstoffen  > 300 t/d,Herstellung v. Nahrungsmitteln aus tieri. od. pflanzl. Rohst.,Lebensmittelindustrie
45099,2009,64.5,Kupfer und Verbindungen (als Cu),Schwermetalle,50.0,Berechnung,OTH (C),Hansa-Milch AG,13-40-1358065,11.2276841944488,53.8277535102157,"Meiereiweg 1
23936 Upahl",Mecklenburg-Vorpommern,Warnow/Peene,Hansa-Milch AG Herr Remus,Hansa-Milch AG,Hansa-Milch AG,1051,Milchverarbeitung (ohne Herstellung von Speiseeis),Behandlung und Verarbeitung von Milch > 200 t/d,Behandlung und Verarbeitung von Milch,Lebensmittelindustrie
172032,2011,54.7,Kupfer und Verbindungen (als Cu),Schwermetalle,50.0,Messung,OTH (M),VION Lingen Niederlassung der VION Zeven AG,03-10-10258958800,7.3503927833725,52.5524810173344,"Friedrich-Ebert-Straße 132
49811 Lingen",Niedersachsen,Ems,VION Lingen,VION Lingen - Niederlassung der VION Zeven AG,VION Lingen - Niederlassung der VION Zeven AG,1011,Schlachten (ohne Schlachten von Geflügel),Schlachthöfe > 50 t/d,Schlachthöfe,Lebensmittelindustrie
171649,2011,552,Kupfer und Verbindungen (als Cu),Schwermetalle,50.0,Berechnung,NRB (C),AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,03-08-08080215580,11.1598955216215,52.9835657572258,"Am Rehbecker Weg 0
29439 Lüchow (Wendland)",Niedersachsen,Elbe/Labe,AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,1062,Herstellung von Stärke und Stärkeerzeugnissen,Herstellung v. Nahrungsmitteln/Getränkeprodukten aus pflanzlichen Rohstoffen  > 300 t/d,Herstellung v. Nahrungsmitteln aus tieri. od. pflanzl. Rohst.,Lebensmittelindustrie
168812,2010,448,Kupfer und Verbindungen (als Cu),Schwermetalle,50.0,Berechnung,NRB (C),AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,03-08-08080215580,11.1598955216215,52.9835657572258,"Am Rehbecker Weg -
29439 Lüchow (Wendland)",Niedersachsen,Elbe/Labe,AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,1062,Herstellung von Stärke und Stärkeerzeugnissen,Herstellung v. Nahrungsmitteln/Getränkeprodukten aus pflanzlichen Rohstoffen  > 300 t/d,Herstellung v. Nahrungsmitteln aus tieri. od. pflanzl. Rohst.,Lebensmittelindustrie
149575,2007,599,Kupfer und Verbindungen (als Cu),Schwermetalle,50.0,Messung,NRB (M),AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,03-08-08080215580,11.1598955216215,52.9835657572258,"Am Rehbecker Weg -
29439 Lüchow (Wendland)",Niedersachsen,Elbe/Labe,AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,,,1062,Herstellung von Stärke und Stärkeerzeugnissen,Herstellung v. Nahrungsmitteln/Getränkeprodukten aus pflanzlichen Rohstoffen  > 300 t/d,Herstellung v. Nahrungsmitteln aus tieri. od. pflanzl. Rohst.,Lebensmittelindustrie
178375,2013,382,Kupfer und Verbindungen (als Cu),Schwermetalle,50.0,Messung,INT (M) CEN/ISO,AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,03-08-08080215580,11.1598955216215,52.9835657572258,"Albrecht-Thaer-Str. 1
29439 Lüchow (Wendland)",Niedersachsen,Elbe/Labe,AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,AVEBE Kartoffelstärkefabrik Prignitz/Wendland GmbH,1062,Herstellung von Stärke und Stärkeerzeugnissen,Herstellung v. Nahrungsmitteln/Getränkeprodukten aus pflanzlichen Rohstoffen  > 300 t/d,,Lebensmittelindustrie
169236,2010,49.1,Nickel und Verbindungen (als Ni),Schwermetalle,20.0,Messung,PER (M),Cargill Deutschland GmbH,06-05-100-0018507,6.66102944153265,51.3375491485426,"Düsseldorfer Str. 191
47809 Krefeld",Nordrhein-Westfalen,Rhein,Cargill Deutschland GmbH,Cargill Deutschland GmbH,Cargill Deutschland GmbH,1062,Herstellung von Stärke und Stärkeerzeugnissen,Herstellung v. Nahrungsmitteln/Getränkeprodukten aus pflanzlichen Rohstoffen  > 300 t/d,Herstellung v. Nahrungsmitteln aus tieri. od. pflanzl. Rohst.,Lebensmittelindustrie
176290,2012,38,Nickel und Verbindungen (als Ni),Schwermetalle,20.0,Messung,PER (M),Cargill Deutschland GmbH,06-05-100-0018507,6.66102944153265,51.3375491485426,"Düsseldorfer Str. 191
47809 Krefeld",Nordrhein-Westfalen,Rhein,Cargill Deutschland GmbH,Cargill Deutschland GmbH,Cargill Deutschland GmbH,1062,Herstellung von Stärke und Stärkeerzeugnissen,Herstellung v. Nahrungsmitteln/Getränkeprodukten aus pflanzlichen Rohstoffen  > 300 t/d,Herstellung v. Nahrungsmitteln aus tieri. od. pflanzl. Rohst.,Lebensmittelindustrie
