betriebe_id,jahr,kompartiment,jahresfracht,jahresfracht_versehentlich,jahresfracht_nichtbiogen,stoff_name,stoff_gruppe,stoff_casnummer,stoff_schwellenwert,bestimmungsmethode,bestimmungsverfahren,name,kennnummer,wgs84_x,wgs84_y,anschrift,bundesland,flusseinzugsgebiet,muttergesellschaft,eigentuemer,betreiber,nace_code,nace_text,prtr_beschreibung,ivu_beschreibung,branchengruppe
103975,2007,Luft,108000.0,0.0,,Methan (CH4),Treibhausgase,74-82-8,100000.0,Messung,NRB (M),ArcelorMittal Eisenhüttenstadt GmbH,12-30670480000,14.6176822369296,52.1661405222489,"Werkstrasse 1
15888 Eisenhüttenstadt",Brandenburg,Oder,ArcelorMittal Eisenhüttenstadt GmbH,,,2410,"Erzeugung von Roheisen, Stahl und Ferrolegierungen","Herstellung von Roheisen oder Stahl einschl. Stranggießen > 2,5 t/h",Herstellung von Roheisen oder Stahl,Metallindustrie
165066,2008,Luft,126000000.0,0.0,,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Berechnung,OTH (C),Aluminium Norf GmbH,06-05-100-0173542,6.7845260829157,51.1532625664273,"Koblenzer Str. 120
41468 Neuss",Nordrhein-Westfalen,Rhein,Aluminium Norf GmbH,,,2442,Erzeugung und erste Bearbeitung von Aluminium,Schmelzen von Nichteisenmetallen einschließlich Legierierungen > 20 t/d oder > 4 t/d Pb und Cd,Schmelzen von Nichteisenmetallen einschließlich Legier.,Metallindustrie
167290,2009,Luft,445000000.0,0.0,445000000.0,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Berechnung,OTH (C),ThyssenKrupp Steel Europe AG Werk Bruckhausen,06-05-100-0209697,6.74061065688053,51.4925124264362,Kaiser - Wilhelm - Straße 10047166 Duisburg,Nordrhein-Westfalen,Rhein,ThyssenKrupp Steel Europe AG,ThyssenKrupp Steel Europe AG,ThyssenKrupp Steel Europe AG,2410,"Erzeugung von Roheisen, Stahl und Ferrolegierungen","Herstellung von Roheisen oder Stahl einschl. Stranggießen > 2,5 t/h",Herstellung von Roheisen oder Stahl,Metallindustrie
168973,2010,Luft,153000000.0,0.0,153000000.0,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Berechnung,NRB (C),Georgsmarienhütte GmbH,03-10-10285005160,8.0495157398482,52.2091445150151,"Neue Hüttenstraße 1
49124 Georgsmarienhütte",Niedersachsen,Ems,Georgsmarienhütte GmbH,Georgsmarienhütte GmbH,Georgsmarienhütte GmbH,2410,"Erzeugung von Roheisen, Stahl und Ferrolegierungen","Herstellung von Roheisen oder Stahl einschl. Stranggießen > 2,5 t/h",Herstellung von Roheisen oder Stahl,Metallindustrie
185464,2014,Luft,105000000.0,0.0,105000000.0,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Berechnung,OTH (C),Ilsenburger Grobblech GmbH,13774,10.697140809706,51.8726185241675,"Veckenstedter Weg 10
38871 Ilsenburg (Harz)",Sachsen-Anhalt,Elbe/Labe,Ilsenburger Grobblech GmbH,Ilsenburger Grobblech GmbH,Ilsenburger Grobblech GmbH,2431,Herstellung von Blankstahl,Warmwalzen von Eisenmetallen >20 t/h,,Metallindustrie
148672,2013,Luft,101000000.0,0.0,101000000.0,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Berechnung,MAB,Stahlwerk Thüringen GmbH,16-86-74283520000,11.4342882620335,50.6535046694899,"Kronacher Str. 6
07333 Unterwellenborn",Thüringen,Elbe/Labe,Stahlwerk Thüringen GmbH,Companhia Siderurgica Nacional,Stahlwerk Thüringen GmbH,2410,"Erzeugung von Roheisen, Stahl und Ferrolegierungen","Herstellung von Roheisen oder Stahl einschl. Stranggießen > 2,5 t/h",,Metallindustrie
171632,2011,Luft,7870000000.0,0.0,7870000000.0,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Berechnung,PER (C),Salzgitter Flachstahl GmbH Werk Salzgitter,03-01-01211092310,10.4030753147256,52.1547649242988,"Eisenhüttenstr. 99
38239 Salzgitter",Niedersachsen,Weser,Salzgitter Flachstahl GmbH,Salzgitter Flachstahl GmbH,Salzgitter Flachstahl GmbH,2410,"Erzeugung von Roheisen, Stahl und Ferrolegierungen","Herstellung von Roheisen oder Stahl einschl. Stranggießen > 2,5 t/h",Herstellung von Roheisen oder Stahl,Metallindustrie
167334,2009,Luft,199000000.0,0.0,199000000.0,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Berechnung,MAB,Hydro Aluminium Deutschland GmbH Primary Metal,06-05-100-0082185,6.78183343700165,51.1488765499749,"Koblenzer Str. 122
41468 Neuss",Nordrhein-Westfalen,Rhein,Hydro Aluminium Deutschland GmbH Primary Metal,Hydro Aluminium Deutschland GmbHPrimary Metal,Hydro Aluminium Deutschland GmbHPrimary Metal,2442,Erzeugung und erste Bearbeitung von Aluminium,Gewinnung von Nichteisenrohmetallen aus Erzen,Gewinnung von Nichteisenrohmetallen aus Erzen,Metallindustrie
136817,2011,Luft,1550000000.0,0.0,1550000000.0,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Berechnung,OTH (C),ArcelorMittal Eisenhüttenstadt GmbH,12-30670480000,14.6176822369296,52.1661405222489,"Werkstraße 1
15890 Eisenhüttenstadt",Brandenburg,Oder,ArcelorMittal Eisenhüttenstadt GmbH,Arcelormittal Eisenhüttenstadt GmbH,Arcelormittal Eisenhüttenstadt GmbH,2410,"Erzeugung von Roheisen, Stahl und Ferrolegierungen","Herstellung von Roheisen oder Stahl einschl. Stranggießen > 2,5 t/h",Herstellung von Roheisen oder Stahl,Metallindustrie
69884,2009,Luft,163000000.0,0.0,162000000.0,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Berechnung,NRB (C),Aurubis AG,06-02-B2C100A009,10.0332724732957,53.5216322071928,"Hovestraße 50
20539 Hamburg",Hamburg,Elbe/Labe,Aurubis AG,Aurubis AG,Aurubis AG,2444,Erzeugung und erste Bearbeitung von Kupfer,Gewinnung von Nichteisenrohmetallen aus Erzen,Gewinnung von Nichteisenrohmetallen aus Erzen,Metallindustrie
