betriebe_id,jahr,jahresfracht,stoff_name,stoff_gruppe,stoff_schwellenwert,bestimmungsmethode,bestimmungsverfahren,name,kennnummer,wgs84_x,wgs84_y,anschrift,bundesland,flusseinzugsgebiet,muttergesellschaft,eigentuemer,betreiber,nace_code,nace_text,prtr_beschreibung,ivu_beschreibung,branchengruppe
180081,2013,8.33,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,PER (M),ThyssenKrupp Steel Europe AG Werk Höntrop,06-05-900-9000294,7.1710012768509,51.4755200524551,"Essener Straße 244
44793 Bochum",Nordrhein-Westfalen,Rhein,ThyssenKrupp Steel Europe AG,ThyssenKrupp Steel Europe AG,ThyssenKrupp Steel Europe AG,2410,"Erzeugung von Roheisen, Stahl und Ferrolegierungen",Warmwalzen von Eisenmetallen >20 t/h,,Metallindustrie
168734,2010,545,Arsen und Verbindungen (als As),Schwermetalle,5.0,Schätzung,Sonstiges (E),Weser - Metall GmbH,03-09-09090117300,8.50416629286107,53.5035851306162,"Johannastr. 2
26954 Nordenham",Niedersachsen,Weser,Recylex SA,"Recylex GmbH, Hannover","Recylex GmbH, Hannover",2443,"Erzeugung und erste Bearbeitung von Blei, Zink und Zinn",Gewinnung von Nichteisenrohmetallen aus Erzen,Gewinnung von Nichteisenrohmetallen aus Erzen,Metallindustrie
175994,2012,11.3,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,PER (M),ThyssenKrupp Steel Europe AG Werk Höntrop,06-05-900-9000294,7.1710012768509,51.4755200524551,"Essener Straße 244
44793 Bochum",Nordrhein-Westfalen,Rhein,ThyssenKrupp Steel Europe AG,ThyssenKrupp Steel Europe AG,ThyssenKrupp Steel Europe AG,2410,"Erzeugung von Roheisen, Stahl und Ferrolegierungen",Warmwalzen von Eisenmetallen >20 t/h,Warmwalzen von Eisenmetallen,Metallindustrie
165351,2008,7,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,PER (M),ThyssenKrupp Steel AG Werk Bochum-Höntrop,06-05-900-9000294,7.17679883534652,51.4727776295463,"Essener Str. 200
44793 Bochum",Nordrhein-Westfalen,Rhein,ThyssenKrupp Steel AG,,,2410,"Erzeugung von Roheisen, Stahl und Ferrolegierungen",Warmwalzen von Eisenmetallen >20 t/h,Warmwalzen von Eisenmetallen,Metallindustrie
175086,2012,367,Arsen und Verbindungen (als As),Schwermetalle,5.0,Schätzung,Sonstiges (E),Weser - Metall GmbH,03-09-09090117300,8.50416629286107,53.5035851306162,"Johannastr. 2
26954 Nordenham",Niedersachsen,Weser,Recylex SA Recylex GmbH,Weser-Metall GmbH,Weser-Metall GmbH,2443,"Erzeugung und erste Bearbeitung von Blei, Zink und Zinn",Gewinnung von Nichteisenrohmetallen aus Erzen,Gewinnung von Nichteisenrohmetallen aus Erzen,Metallindustrie
161845,2007,5.87,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,OTH (M),Berzelius Stolberg GmbH,06-05-300-0875270,6.24087279396776,50.755173490409,"Binsfeldhammer 14
52224 Stolberg",Nordrhein-Westfalen,Maas,,,,2443,"Erzeugung und erste Bearbeitung von Blei, Zink und Zinn",Gewinnung von Nichteisenrohmetallen aus Erzen,Gewinnung von Nichteisenrohmetallen aus Erzen,Metallindustrie
172547,2011,17.5,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,PER (M),ThyssenKrupp Steel Europe AG Werk Höntrop,06-05-900-9000294,7.1710012768509,51.4755200524551,"Essener Straße 244
44793 Bochum",Nordrhein-Westfalen,Rhein,ThyssenKrupp Steel Europe AG,ThyssenKrupp Steel Europe AG,ThyssenKrupp Steel Europe AG,2410,"Erzeugung von Roheisen, Stahl und Ferrolegierungen",Warmwalzen von Eisenmetallen >20 t/h,Warmwalzen von Eisenmetallen,Metallindustrie
162681,2007,16.6,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,PER (M),ThyssenKrupp Steel AG Werk Hamborn,06-05-100-0215455,6.74299141166485,51.4912722438869,Kaiser-Wilhelm-Str. 10047166 Duisburg,Nordrhein-Westfalen,Rhein,ThyssenKrupp Steel AG,,,2410,"Erzeugung von Roheisen, Stahl und Ferrolegierungen","Herstellung von Roheisen oder Stahl einschl. Stranggießen > 2,5 t/h",Herstellung von Roheisen oder Stahl,Metallindustrie
178620,2013,228,Arsen und Verbindungen (als As),Schwermetalle,5.0,Schätzung,Sonstiges (E),Weser - Metall GmbH,03-09-09090117300,8.50416629286107,53.5035851306162,"Johannastr. 2
26954 Nordenham",Niedersachsen,Weser,Weser-Metall GmbH,Weser-Metall GmbH,Weser-Metall GmbH,2443,"Erzeugung und erste Bearbeitung von Blei, Zink und Zinn",Gewinnung von Nichteisenrohmetallen aus Erzen,,Metallindustrie
164737,2008,11.1,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,CRM,Ruhr-Zink GmbH Zinkhütte,06-05-500-0279116,7.3229887322668,51.622823973437,"Wittener Str. 1
45711 Datteln",Nordrhein-Westfalen,Rhein,Ruhr-Zink GmbH Zinkhütte,,,2443,"Erzeugung und erste Bearbeitung von Blei, Zink und Zinn",Röst- oder Sinteranlagen f. Metallerz einschl. sulfid. Erze,Röst- oder Sinteranlagen f. Metallerz einschl. sulfid. Erze,Metallindustrie
171636,2011,449,Arsen und Verbindungen (als As),Schwermetalle,5.0,Schätzung,Sonstiges (E),Weser - Metall GmbH,03-09-09090117300,8.50416629286107,53.5035851306162,"Johannastr. 2
26954 Nordenham",Niedersachsen,Weser,Recylex SA,Recylex GmbH,Recylex GmbH,2443,"Erzeugung und erste Bearbeitung von Blei, Zink und Zinn",Gewinnung von Nichteisenrohmetallen aus Erzen,Gewinnung von Nichteisenrohmetallen aus Erzen,Metallindustrie
162275,2007,198,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,CRM,Ruhr-Zink GmbH Zinkhütte,06-05-500-0279116,7.3229887322668,51.622823973437,"Wittener Str. 1
45711 Datteln",Nordrhein-Westfalen,Rhein,Gea Group AG Maschinenbau,Ruhr-Zink,Ruhr-Zink,2443,"Erzeugung und erste Bearbeitung von Blei, Zink und Zinn",Röst- oder Sinteranlagen f. Metallerz einschl. sulfid. Erze,Röst- oder Sinteranlagen f. Metallerz einschl. sulfid. Erze,Metallindustrie
163860,2008,303,Arsen und Verbindungen (als As),Schwermetalle,5.0,Schätzung,Sonstiges (E),Weser - Metall GmbH,03-09-09090117300,8.50416629286107,53.5035851306162,"Johannastraße 2
26954 Nordenham",Niedersachsen,Weser,"Recylex SA, Frankreich",,,2443,"Erzeugung und erste Bearbeitung von Blei, Zink und Zinn",Gewinnung von Nichteisenrohmetallen aus Erzen,Gewinnung von Nichteisenrohmetallen aus Erzen,Metallindustrie
149511,2007,346,Arsen und Verbindungen (als As),Schwermetalle,5.0,Schätzung,Sonstiges (E),Weser - Metall GmbH,03-09-09090117300,8.50416629286107,53.5035851306162,"Johannastraße 2
26954 Nordenham",Niedersachsen,Weser,"Recylex SA, Frankreich Recylex GmbH, Deutschland",,,2443,"Erzeugung und erste Bearbeitung von Blei, Zink und Zinn","Gewinnung v. NE-Rohmetallen aus Erzen, Schmelzen v. NE-Metallen > 20 t/d od. > 4 t/d Pb und Cd",Gewinnung von Nichteisenrohmetallen aus Erzen,Metallindustrie
183112,2014,228,Arsen und Verbindungen (als As),Schwermetalle,5.0,Schätzung,Sonstiges (E),Weser - Metall GmbH,03-09-09090117300,8.50415100681197,53.5036030447421,"Johannastr. 2
26954 Nordenham",Niedersachsen,Weser,Weser-Metall GmbH,Weser-Metall GmbH,Weser-Metall GmbH,2443,"Erzeugung und erste Bearbeitung von Blei, Zink und Zinn",Gewinnung von Nichteisenrohmetallen aus Erzen,,Metallindustrie
162364,2007,6,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,PER (M),ThyssenKrupp Steel AG Werk Bochum-Höntrop,06-05-900-9000294,7.17681286769283,51.4727868405608,"Essener Str. 200
44793 Bochum",Nordrhein-Westfalen,Rhein,ThyssenKrupp Steel AG,,,2410,"Erzeugung von Roheisen, Stahl und Ferrolegierungen",Warmwalzen von Eisenmetallen >20 t/h,Warmwalzen von Eisenmetallen,Metallindustrie
184233,2014,6.1,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,PER (M),ThyssenKrupp Steel Europe AG Werk Höntrop,06-05-900-9000294,7.1710012768509,51.4755200524551,"Essener Straße 244
44793 Bochum",Nordrhein-Westfalen,Rhein,ThyssenKrupp Steel Europe AG,ThyssenKrupp Steel Europe AG,ThyssenKrupp Steel Europe AG,2410,"Erzeugung von Roheisen, Stahl und Ferrolegierungen",Warmwalzen von Eisenmetallen >20 t/h,,Metallindustrie
167679,2009,5.56,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,PER (M),ThyssenKrupp Steel Europe AG Werk Höntrop,06-05-900-9000294,7.1710012768509,51.4755200524551,"Essener Straße 244
44793 Bochum",Nordrhein-Westfalen,Rhein,ThyssenKrupp Steel Europe AG,ThyssenKrupp Steel Europe AG,ThyssenKrupp Steel Europe AG,2410,"Erzeugung von Roheisen, Stahl und Ferrolegierungen",Warmwalzen von Eisenmetallen >20 t/h,Warmwalzen von Eisenmetallen,Metallindustrie
167872,2009,6.28,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,PER (M),ThyssenKrupp Steel Europe AG Werk Hamborn,06-05-100-0215455,6.72648284165998,51.4912500236739,Kaiser - Wilhelm - Straße 10047166 Duisburg,Nordrhein-Westfalen,Rhein,ThyssenKrupp Steel Europe AG,ThyssenKrupp Steel Europe AG,ThyssenKrupp Steel Europe AG,2410,"Erzeugung von Roheisen, Stahl und Ferrolegierungen","Herstellung von Roheisen oder Stahl einschl. Stranggießen > 2,5 t/h",Herstellung von Roheisen oder Stahl,Metallindustrie
166378,2009,201,Arsen und Verbindungen (als As),Schwermetalle,5.0,Schätzung,Sonstiges (E),Weser - Metall GmbH,03-09-09090117300,8.50416629286107,53.5035851306162,"Johannastr. 2
26954 Nordenham",Niedersachsen,Weser,"Recylex SA, Frankreich","Recylex GmbH, Hannover","Recylex GmbH, Hannover",2443,"Erzeugung und erste Bearbeitung von Blei, Zink und Zinn",Gewinnung von Nichteisenrohmetallen aus Erzen,Gewinnung von Nichteisenrohmetallen aus Erzen,Metallindustrie
169551,2010,14.1,Arsen und Verbindungen (als As),Schwermetalle,5.0,Messung,PER (M),ThyssenKrupp Steel Europe AG Werk Höntrop,06-05-900-9000294,7.1710012768509,51.4755200524551,"Essener Straße 244
44793 Bochum",Nordrhein-Westfalen,Rhein,ThyssenKrupp Steel Europe AG,ThyssenKrupp Steel Europe AG,ThyssenKrupp Steel Europe AG,2410,"Erzeugung von Roheisen, Stahl und Ferrolegierungen",Warmwalzen von Eisenmetallen >20 t/h,Warmwalzen von Eisenmetallen,Metallindustrie
175086,2012,428,Cadmium und Verbindungen (als Cd),Schwermetalle,5.0,Schätzung,Sonstiges (E),Weser - Metall GmbH,03-09-09090117300,8.50416629286107,53.5035851306162,"Johannastr. 2
26954 Nordenham",Niedersachsen,Weser,Recylex SA Recylex GmbH,Weser-Metall GmbH,Weser-Metall GmbH,2443,"Erzeugung und erste Bearbeitung von Blei, Zink und Zinn",Gewinnung von Nichteisenrohmetallen aus Erzen,Gewinnung von Nichteisenrohmetallen aus Erzen,Metallindustrie
