betriebe_id,jahr,menge,gefaehrlich,ins_ausland,disposition,bestimmungsmethode,bestimmungsverfahren,entsorger,entsorgungsort,name,kennnummer,wgs84_x,wgs84_y,anschrift,bundesland,flusseinzugsgebiet,muttergesellschaft,eigentuemer,betreiber,nace_code,nace_text,prtr_beschreibung,ivu_beschreibung,branchengruppe
184483,2014,822.0,TRUE,TRUE,Zur Verwertung,Messung,Wiegen (M),"Cement Bow Mineralen B.V.
Industrieweg 15
5861 Wanssum
Niederlande","Industrieweg 15
5681 Wanssum
Niederlande",Moritz J. Weig GmbH & Co. KG,07-01-126351,7.22082908523668,50.3135652224111,"Polcher Str. 113
56727 Mayen",Rheinland-Pfalz,Rhein,Moritz J. Weig GmbH & Co. KG,Moritz j. Weig GmbH & Co. KG,Moritz J. Weig GmbH & Co. KG,1712,"Herstellung von Papier, Karton und Pappe",Herstellung von Papier und Pappe und sonstigen primären Holzprodukten > 20 t/d,,Papier- und Holzindustrie
162519,2007,55.6,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,Heinr. Aug. Schoeller Söhne GmbH & Co. KG Papierfabrik Schoellershammer,06-05-300-0890760,6.49094386868491,50.7753515423057,"Kreuzauer Straße 18
52355 Düren",Nordrhein-Westfalen,Maas,,,Papierfabrik Schoellershammer Heinr. Aug. Schoeller Söhne,1712,"Herstellung von Papier, Karton und Pappe",Herstellung von Papier und Pappe und sonstigen primären Holzprodukten > 20 t/d,Herstellung von Papier und Pappe,Papier- und Holzindustrie
118773,2011,7.2,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,Koehler Greiz GmbH & Co. KG,16-79-70343230000,12.2082840824977,50.6378718766723,"Mylauer Str. 4
07973 Greiz",Thüringen,Elbe/Labe,Papierfabrik August Koehler AG,Papierfabrik August Koehler AG,Koehler Greiz GmbH & Co. KG,1712,"Herstellung von Papier, Karton und Pappe",Herstellung von Papier und Pappe und sonstigen primären Holzprodukten > 20 t/d,Herstellung von Papier und Pappe,Papier- und Holzindustrie
45880,2007,213.0,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,Felix Schoeller jr. Foto- und Spezialpapiere GmbH & Co. KG Werk Weißenborn,14-20-60555440000,13.3939813841449,50.8728327385032,"Fabrikstraße 1
09600 Weißenborn/Erzgeb.",Sachsen,Elbe/Labe,Felix Schoeller jr. Foto- und Spezialpapiere GmbH & Co. KG Werk Weißenborn,,,1712,"Herstellung von Papier, Karton und Pappe",Herstellung von Papier und Pappe und sonstigen primären Holzprodukten > 20 t/d,Herstellung von Papier und Pappe,Papier- und Holzindustrie
163277,2008,63.2,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,Rauch Spanplattenwerk GmbH,06-09-575-0030-0001,10.4436408108664,49.6382443469633,"Fuchsau 3
91477 Markt Bibart",Bayern,Rhein,Rauch Spanplattenwerk GmbH,Rauch Spanplattenwerk GmbH,Rauch Spanplattenwerk GmbH,1621,"Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten",Herstellung von Papier und Pappe und sonstigen primären Holzprodukten > 20 t/d,Herstellung von Papier und Pappe,Papier- und Holzindustrie
175363,2012,284.0,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,Julius Schulte Söhne GmbH & Co. KG,06-05-100-0052589,6.78252775259877,51.2047583584419,"Fruchtstr. 28
40223 Düsseldorf",Nordrhein-Westfalen,Rhein,Julius Schulte Söhne GmbH & Co. KG,Julius Schulte Söhne GmbH & Co. KG,Julius Schulte Söhne GmbH & Co. KG,1712,"Herstellung von Papier, Karton und Pappe",Herstellung von Papier und Pappe und sonstigen primären Holzprodukten > 20 t/d,Herstellung von Papier und Pappe,Papier- und Holzindustrie
163403,2008,4.5,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,Rhein Papier GmbH,06-09-271-8000-0001,12.8655635305061,48.7972537958243,"Nicolausstraße 7
94447 Plattling",Bayern,Donau,Rhein Papier GmbH,Rhein Papier GmbH,Rhein Papier GmbH,1712,"Herstellung von Papier, Karton und Pappe",Herstellung von Papier und Pappe und sonstigen primären Holzprodukten > 20 t/d,Herstellung von Papier und Pappe,Papier- und Holzindustrie
118823,2011,1.83,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,Spanplattenwerk Gotha GmbH,16-78-42200000019,10.7158382996743,50.9682816474127,"Mühlhäuser Straße 9
99867 Gotha",Thüringen,Weser,Sauerländer Spanplatten GmbH & Co. KG,Sauerländer Spanplatten GmbH & Co. KG,Spanplattenwerk Gotha GmbH,1621,"Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten",Herstellung von Papier und Pappe und sonstigen primären Holzprodukten > 20 t/d,Keine IVU-Tätigkeit,Papier- und Holzindustrie
118823,2011,0.202,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,Spanplattenwerk Gotha GmbH,16-78-42200000019,10.7158382996743,50.9682816474127,"Mühlhäuser Straße 9
99867 Gotha",Thüringen,Weser,Sauerländer Spanplatten GmbH & Co. KG,Sauerländer Spanplatten GmbH & Co. KG,Spanplattenwerk Gotha GmbH,1621,"Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten",Herstellung von Papier und Pappe und sonstigen primären Holzprodukten > 20 t/d,Keine IVU-Tätigkeit,Papier- und Holzindustrie
118823,2011,0.594,TRUE,FALSE,Zur Beseitigung,Messung,Wiegen (M),,,Spanplattenwerk Gotha GmbH,16-78-42200000019,10.7158382996743,50.9682816474127,"Mühlhäuser Straße 9
99867 Gotha",Thüringen,Weser,Sauerländer Spanplatten GmbH & Co. KG,Sauerländer Spanplatten GmbH & Co. KG,Spanplattenwerk Gotha GmbH,1621,"Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten",Herstellung von Papier und Pappe und sonstigen primären Holzprodukten > 20 t/d,Keine IVU-Tätigkeit,Papier- und Holzindustrie
