betriebe_id,jahr,kompartiment,jahresfracht,jahresfracht_versehentlich,jahresfracht_nichtbiogen,stoff_name,stoff_gruppe,stoff_casnummer,stoff_schwellenwert,bestimmungsmethode,bestimmungsverfahren,name,kennnummer,wgs84_x,wgs84_y,anschrift,bundesland,flusseinzugsgebiet,muttergesellschaft,eigentuemer,betreiber,nace_code,nace_text,prtr_beschreibung,ivu_beschreibung,branchengruppe
152918,2008,Boden,8.5,0.0,,Arsen und Verbindungen (als As),Schwermetalle,,5.0,Berechnung,OTH (C),Technocell Dekor GmbH & Co. KG,14-60-60525070001,12.7097548964,50.9336199558159,"Flinschstraße 7-11
09322 Penig",Sachsen,Elbe/Labe,Technocell Dekor GmbH & Co. KG,,,1712,"Herstellung von Papier, Karton und Pappe",Herstellung von Papier und Pappe und sonstigen primären Holzprodukten > 20 t/d,Herstellung von Papier und Pappe,Papier- und Holzindustrie
152918,2008,Boden,9.3,0.0,,Cadmium und Verbindungen (als Cd),Schwermetalle,,5.0,Berechnung,OTH (C),Technocell Dekor GmbH & Co. KG,14-60-60525070001,12.7097548964,50.9336199558159,"Flinschstraße 7-11
09322 Penig",Sachsen,Elbe/Labe,Technocell Dekor GmbH & Co. KG,,,1712,"Herstellung von Papier, Karton und Pappe",Herstellung von Papier und Pappe und sonstigen primären Holzprodukten > 20 t/d,Herstellung von Papier und Pappe,Papier- und Holzindustrie
152918,2008,Boden,60.0,0.0,,Chrom und Verbindungen (als Cr),Schwermetalle,,50.0,Berechnung,OTH (C),Technocell Dekor GmbH & Co. KG,14-60-60525070001,12.7097548964,50.9336199558159,"Flinschstraße 7-11
09322 Penig",Sachsen,Elbe/Labe,Technocell Dekor GmbH & Co. KG,,,1712,"Herstellung von Papier, Karton und Pappe",Herstellung von Papier und Pappe und sonstigen primären Holzprodukten > 20 t/d,Herstellung von Papier und Pappe,Papier- und Holzindustrie
152918,2008,Boden,56.0,0.0,,Kupfer und Verbindungen (als Cu),Schwermetalle,,50.0,Berechnung,OTH (C),Technocell Dekor GmbH & Co. KG,14-60-60525070001,12.7097548964,50.9336199558159,"Flinschstraße 7-11
09322 Penig",Sachsen,Elbe/Labe,Technocell Dekor GmbH & Co. KG,,,1712,"Herstellung von Papier, Karton und Pappe",Herstellung von Papier und Pappe und sonstigen primären Holzprodukten > 20 t/d,Herstellung von Papier und Pappe,Papier- und Holzindustrie
152918,2008,Boden,42.0,0.0,,Nickel und Verbindungen (als Ni),Schwermetalle,,20.0,Berechnung,OTH (C),Technocell Dekor GmbH & Co. KG,14-60-60525070001,12.7097548964,50.9336199558159,"Flinschstraße 7-11
09322 Penig",Sachsen,Elbe/Labe,Technocell Dekor GmbH & Co. KG,,,1712,"Herstellung von Papier, Karton und Pappe",Herstellung von Papier und Pappe und sonstigen primären Holzprodukten > 20 t/d,Herstellung von Papier und Pappe,Papier- und Holzindustrie
152918,2008,Boden,66.0,0.0,,Blei und Verbindungen (als Pb),Schwermetalle,,20.0,Berechnung,OTH (C),Technocell Dekor GmbH & Co. KG,14-60-60525070001,12.7097548964,50.9336199558159,"Flinschstraße 7-11
09322 Penig",Sachsen,Elbe/Labe,Technocell Dekor GmbH & Co. KG,,,1712,"Herstellung von Papier, Karton und Pappe",Herstellung von Papier und Pappe und sonstigen primären Holzprodukten > 20 t/d,Herstellung von Papier und Pappe,Papier- und Holzindustrie
133659,2010,Luft,273000000.0,0.0,273000000.0,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Berechnung,OTH (C),Papierfabrik Albbruck GmbH,06-08-4380932,8.13060705630423,47.5898089880622,"Alte Landstr. 49
79774 Albbruck",Baden-Württemberg,Rhein,Papierfabrik Albbruck GmbH,Papierfabrik Albbruck GmbH,Papierfabrik Albbruck GmbH,1712,"Herstellung von Papier, Karton und Pappe",Herstellung von Papier und Pappe und sonstigen primären Holzprodukten > 20 t/d,Herstellung von Papier und Pappe,Papier- und Holzindustrie
167130,2009,Luft,205000000.0,0.0,190000000.0,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Berechnung,PER (C),Smurfit Kappa Zülpich Papier,06-05-300-0079450,6.65300591210981,50.7065918471057,"Bessenicher Weg Postfach 135
53909 Zülpich",Nordrhein-Westfalen,Rhein,Smurfit Kappa Zülpich Papier,Smurfit Kappa Zülpich Papier,Smurfit Kappa Zülpich Papier GmbH,1712,"Herstellung von Papier, Karton und Pappe",Herstellung von Papier und Pappe und sonstigen primären Holzprodukten > 20 t/d,Herstellung von Papier und Pappe,Papier- und Holzindustrie
169529,2010,Luft,252000000.0,0.0,233000000.0,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Berechnung,PER (C),Smurfit Kappa Zülpich Papier  GmbH,06-05-300-0079450,6.65300591210981,50.7065918471057,"Bessenicher Weg -
53909 Zülpich",Nordrhein-Westfalen,Rhein,Smurfit Kappa Zülpich Papier,Smurfit Kappa Zülpich Papier,Smurfit Kappa Zülpich Papier GmbH,1712,"Herstellung von Papier, Karton und Pappe",Herstellung von Papier und Pappe und sonstigen primären Holzprodukten > 20 t/d,Herstellung von Papier und Pappe,Papier- und Holzindustrie
166291,2009,Luft,129000000.0,0.0,124000000.0,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Berechnung,PER (C),Smurfit Kappa Hoya Papier und Karton GmbH,03-06-06277201660,9.1502022168641,52.8113708812151,"Von-dem-Bussche-Straße 1
27318 Hoya",Niedersachsen,Weser,Smurfit Kappa GmbH,Smurfit Kappa GmbH,Smurfit Kappa Hoya Papier und Karton GmbH,1712,"Herstellung von Papier, Karton und Pappe",Herstellung von Papier und Pappe und sonstigen primären Holzprodukten > 20 t/d,Herstellung von Papier und Pappe,Papier- und Holzindustrie
183069,2014,Luft,259000000.0,0.0,259000000.0,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Berechnung,NRB (C),Nordland Papier GmbH Papierfabrik,03-04-04247180070,7.3623602809326,52.9777487226594,"Nordlandallee 1
26892 Dörpen",Niedersachsen,Ems,Nordland Papier GmbH,Nordland Papier GmbH,Nordland Papier GmbH,1712,"Herstellung von Papier, Karton und Pappe",Herstellung von Papier und Pappe und sonstigen primären Holzprodukten > 20 t/d,,Papier- und Holzindustrie
