betriebe_id,jahr,jahresfracht,stoff_name,stoff_gruppe,stoff_schwellenwert,bestimmungsmethode,bestimmungsverfahren,name,kennnummer,wgs84_x,wgs84_y,anschrift,bundesland,flusseinzugsgebiet,muttergesellschaft,eigentuemer,betreiber,nace_code,nace_text,prtr_beschreibung,ivu_beschreibung,branchengruppe
162343,2007,205.0,Chrom und Verbindungen (als Cr),Schwermetalle,50.0,Messung,ALT,Bauer Druck Köln KG,06-05-300-0128105,6.9477084784772,51.000031017188,"Industriestr. 16
50735 Köln",Nordrhein-Westfalen,Rhein,,Heinz Heinrich Bauer,Bauer Druck Köln KG,1812,Drucken a. n. g.,Oberflächenbehandlung mit organischen Lösungsmitteln >150 kg/h oder >200 t/a,Oberflächenbehandlung mit organischen Lösungsmitteln,Sonstige Industriezweige
169535,2010,88.6,Chrom und Verbindungen (als Cr),Schwermetalle,50.0,Messung,ALT,Bauer Druck Köln KG,06-05-300-0128105,6.9477084784772,51.000031017188,"Industriestr. 16
50735 Köln",Nordrhein-Westfalen,Rhein,Bauer Druck Köln KG,Bauer Druck Köln KG,Bauer Druck Köln KG,1812,Drucken a. n. g.,Oberflächenbehandlung mit organischen Lösungsmitteln >150 kg/h oder >200 t/a,Oberflächenbehandlung mit organischen Lösungsmitteln,Sonstige Industriezweige
177869,2013,115.0,Chrom und Verbindungen (als Cr),Schwermetalle,50.0,Messung,NRB (M),SÜDLEDER GmbH & Co. KG Wetblue- und Crustfabrikation,06-09-475-0013-0002,12.0244401749018,50.2458340745073,"Gerberstraße 44
95111 Rehau",Bayern,Elbe/Labe,SÜDLEDER GmbH & Co. KG Wetblue- und Crustfabrikation,SÜDLEDER GmbH & Co. KG,SÜDLEDER GmbH & Co. KG,1511,Herstellung von Leder und Lederfaserstoff; Zurichtung und Färben von Fellen,Gerben von Häuten und Fellen > 12 t/d,,Sonstige Industriezweige
127192,2008,53.4,Chrom und Verbindungen (als Cr),Schwermetalle,50.0,Messung,PER (M),KBC GmbH,06-08-4025253,7.65492055626633,47.608926632152,Clara-Immerwahr-Str. 379540 Lörrach,Baden-Württemberg,Rhein,KBC GmbH,,,1330,Veredlung von Textilien und Bekleidung,Vorbehandlung oder Färben von Fasern oder Textilien > 10 t/d,Vorbehandlung oder Färben von Fasern oder Textilien,Sonstige Industriezweige
166741,2009,110.0,Chrom und Verbindungen (als Cr),Schwermetalle,50.0,Messung,ALT,Bauer Druck Köln KG,06-05-300-0128105,6.9477084784772,51.000031017188,"Industriestr. 16
50735 Köln",Nordrhein-Westfalen,Rhein,Bauer Druck Köln KG,Bauer Druck Köln KG,Bauer Druck Köln KG,1812,Drucken a. n. g.,Oberflächenbehandlung mit organischen Lösungsmitteln >150 kg/h oder >200 t/a,Oberflächenbehandlung mit organischen Lösungsmitteln,Sonstige Industriezweige
167310,2009,199.0,Chrom und Verbindungen (als Cr),Schwermetalle,50.0,Berechnung,OTH (C),Textilausrüstung Roessing GmbH & CO. KG,06-05-500-0113003,6.70177064558248,51.8307539255121,"Tünter Heide 8
46414 Rhede",Nordrhein-Westfalen,Rhein,Textilausrüstung Roessing GmbH & CO. KG,Textilausrüstung RoessingGmbH & CO. KG,Textilausrüstung RoessingGmbH & CO. KG,1330,Veredlung von Textilien und Bekleidung,Vorbehandlung oder Färben von Fasern oder Textilien > 10 t/d,Vorbehandlung oder Färben von Fasern oder Textilien,Sonstige Industriezweige
181651,2014,146.0,Chrom und Verbindungen (als Cr),Schwermetalle,50.0,Messung,NRB (M),SÜDLEDER GmbH & Co. KG Wetblue- und Crustfabrikation,06-09-475-0013-0002,12.0244401749018,50.2458340745073,"Gerberstraße 44
95111 Rehau",Bayern,Elbe/Labe,SÜDLEDER GmbH & Co. KG Wetblue- und Crustfabrikation,SÜDLEDER GmbH & Co. KG,SÜDLEDER GmbH & Co. KG,1511,Herstellung von Leder und Lederfaserstoff; Zurichtung und Färben von Fellen,Gerben von Häuten und Fellen > 12 t/d,,Sonstige Industriezweige
124000,2007,82.9,Chrom und Verbindungen (als Cr),Schwermetalle,50.0,Messung,PER (M),Lauffenmühle GmbH & Co. KG Textilveredlung Wiese,06-08-3992675,7.68181331651478,47.6332005293189,"Beim Haagensteg 4
79541 Lörrach",Baden-Württemberg,Rhein,Lauffenmühle GmbH & Co.KG,,,1330,Veredlung von Textilien und Bekleidung,Vorbehandlung oder Färben von Fasern oder Textilien > 10 t/d,Vorbehandlung oder Färben von Fasern oder Textilien,Sonstige Industriezweige
124127,2007,75.5,Chrom und Verbindungen (als Cr),Schwermetalle,50.0,Messung,PER (M),KBC GmbH,06-08-4025253,7.65492055626633,47.608926632152,Clara-Immerwahr-Str. 379540 Lörrach,Baden-Württemberg,Rhein,KBC GmbH,,,1330,Veredlung von Textilien und Bekleidung,Vorbehandlung oder Färben von Fasern oder Textilien > 10 t/d,Vorbehandlung oder Färben von Fasern oder Textilien,Sonstige Industriezweige
164404,2008,223.0,Chrom und Verbindungen (als Cr),Schwermetalle,50.0,Messung,ALT,Bauer Druck Köln KG,06-05-300-0128105,6.9477084784772,51.000031017188,"Industriestr. 16
50735 Köln",Nordrhein-Westfalen,Rhein,Bauer Druck Köln KG,,,1812,Drucken a. n. g.,Oberflächenbehandlung mit organischen Lösungsmitteln >150 kg/h oder >200 t/a,Oberflächenbehandlung mit organischen Lösungsmitteln,Sonstige Industriezweige
