betriebe_id,jahr,kompartiment,jahresfracht,jahresfracht_versehentlich,jahresfracht_nichtbiogen,stoff_name,stoff_gruppe,stoff_casnummer,stoff_schwellenwert,bestimmungsmethode,bestimmungsverfahren,name,kennnummer,wgs84_x,wgs84_y,anschrift,bundesland,flusseinzugsgebiet,muttergesellschaft,eigentuemer,betreiber,nace_code,nace_text,prtr_beschreibung,ivu_beschreibung,branchengruppe
182104,2014,Luft,275000000.0,0.0,275000000.0,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Berechnung,PER (C),"Opel AG, Adam",06-00000130433,8.39752668080333,49.9948229354622,"Bahnhofsplatz 1
65423 Rüsselsheim",Hessen,Rhein,Adam Opel AG,Adam Opel AG,Adam Opel AG,2910,Herstellung von Kraftwagen und Kraftwagenmotoren,Oberflächenbehandlung mit organischen Lösungsmitteln >150 kg/h oder >200 t/a,,Sonstige Industriezweige
185652,2014,Luft,1080000000.0,0.0,1080000000.0,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Schätzung,Sonstiges (E),Rollen-Offset Druckerei Queienfeld,16-87-66042000006,10.4698108636255,50.4415472306999,"Im Oberen Weidig 6
98631 Grabfeld",Thüringen,Weser,Inline Rollen-Offset Ploch & Strube OHG,Holger Ploch,Inline Rollen-Offset Ploch & Strube OHG,1812,Drucken a. n. g.,Oberflächenbehandlung mit organischen Lösungsmitteln >150 kg/h oder >200 t/a,,Sonstige Industriezweige
168215,2010,Luft,119000000.0,0.0,119000000.0,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Berechnung,OTH (C),AUDI AG,06-09-161-0102-0001,11.4178061946838,48.7902337383814,"Ettinger Straße -
85045 Ingolstadt",Bayern,Donau,AUDI AG,AUDI AG,AUDI AG,2910,Herstellung von Kraftwagen und Kraftwagenmotoren,Oberflächenbehandlung mit organischen Lösungsmitteln >150 kg/h oder >200 t/a,Oberflächenbehandlung mit organischen Lösungsmitteln,Sonstige Industriezweige
171177,2011,Luft,118000000.0,0.0,118000000.0,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Berechnung,OTH (C),AUDI AG,06-09-161-0102-0001,11.4178061946838,48.7902337383814,"Ettinger Straße -
85045 Ingolstadt",Bayern,Donau,AUDI AG,AUDI AG,AUDI AG,2910,Herstellung von Kraftwagen und Kraftwagenmotoren,Oberflächenbehandlung mit organischen Lösungsmitteln >150 kg/h oder >200 t/a,Oberflächenbehandlung mit organischen Lösungsmitteln,Sonstige Industriezweige
84829,2011,Luft,328000000.0,0.0,328000000.0,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Berechnung,NRB (C),"Opel AG, Adam",06-00000130433,8.39755789550058,49.9947965466265,"Bahnhofsplatz -
65423 Rüsselsheim",Hessen,Rhein,Adam Opel AG,Adam Opel AG,Adam Opel AG,2910,Herstellung von Kraftwagen und Kraftwagenmotoren,Oberflächenbehandlung mit organischen Lösungsmitteln >150 kg/h oder >200 t/a,Oberflächenbehandlung mit organischen Lösungsmitteln,Sonstige Industriezweige
148656,2013,Luft,2880000000.0,0.0,2880000000.0,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Schätzung,Sonstiges (E),Rollen-Offset Druckerei Queienfeld,16-87-66042000006,10.4698108636255,50.4415472306999,"Im Oberen Weidig 6
98631 Grabfeld",Thüringen,Weser,Inline Rollen-Offset Ploch & Strube OHG,Holger Ploch,Inline Rollen-Offset Ploch & Strube OHG,1812,Drucken a. n. g.,Oberflächenbehandlung mit organischen Lösungsmitteln >150 kg/h oder >200 t/a,,Sonstige Industriezweige
165926,2009,Luft,117000000.0,0.0,117000000.0,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Berechnung,OTH (C),AUDI AG,06-09-161-0102-0001,11.4178061946838,48.7902337383814,"Ettinger Straße -
85045 Ingolstadt",Bayern,Donau,AUDI AG,AUDI AG,AUDI AG,2910,Herstellung von Kraftwagen und Kraftwagenmotoren,Oberflächenbehandlung mit organischen Lösungsmitteln >150 kg/h oder >200 t/a,Oberflächenbehandlung mit organischen Lösungsmitteln,Sonstige Industriezweige
180837,2014,Luft,226000000.0,0.0,226000000.0,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Berechnung,PER (C),Daimler AG Mercedes-Benz Werk,06-08-1574906,8.99609953076212,48.6999362709104,"Calwer Str. -
71063 Sindelfingen",Baden-Württemberg,Rhein,Daimler AG Mercedes-Benz Werk,Daimler AG,Daimler AG,2910,Herstellung von Kraftwagen und Kraftwagenmotoren,Oberflächenbehandlung mit organischen Lösungsmitteln >150 kg/h oder >200 t/a,,Sonstige Industriezweige
126982,2008,Luft,183000000.0,0.0,,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Berechnung,PER (C),Daimler AG Mercedes-Benz Werk,06-08-1574906,8.98809540759254,48.6970839615708,"Calwer Str. -
71063 Sindelfingen",Baden-Württemberg,Rhein,Daimler AG,,,2910,Herstellung von Kraftwagen und Kraftwagenmotoren,Oberflächenbehandlung mit organischen Lösungsmitteln >150 kg/h oder >200 t/a,Oberflächenbehandlung mit organischen Lösungsmitteln,Sonstige Industriezweige
157725,2012,Luft,316000000.0,0.0,316000000.0,Kohlendioxid (CO2),Treibhausgase,124-38-9,100000000.0,Messung,NRB (M),"Opel AG, Adam",06-00000130433,8.39752668080333,49.9948229354622,"Bahnhofsplatz 1
65423 Rüsselsheim",Hessen,Rhein,Adam Opel AG,Adam Opel AG,Adam Opel AG,2910,Herstellung von Kraftwagen und Kraftwagenmotoren,Oberflächenbehandlung mit organischen Lösungsmitteln >150 kg/h oder >200 t/a,Oberflächenbehandlung mit organischen Lösungsmitteln,Sonstige Industriezweige
