betriebe_id,jahr,menge,gefaehrlich,ins_ausland,disposition,bestimmungsmethode,bestimmungsverfahren,entsorger,entsorgungsort,name,kennnummer,wgs84_x,wgs84_y,anschrift,bundesland,flusseinzugsgebiet,muttergesellschaft,eigentuemer,betreiber,nace_code,nace_text,prtr_beschreibung,ivu_beschreibung,branchengruppe
178150,2013,223.0,TRUE,TRUE,Zur Verwertung,Messung,Wiegen (M),"SETCAR S.A.
Gradinii Publice street 6
810022 Brailia
Rumänien","Gradinii Publice street 6
810022 Brailia
Rumänien",Werk Werra Untertagedeponie Herfa-Neurode,06-90015130632,9.94617416134178,50.8744964131824,"In der Aue 1
36266 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,3822,Behandlung und Beseitigung gefährlicher Abfälle,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
178150,2013,564.0,TRUE,TRUE,Zur Verwertung,Messung,Wiegen (M),"A.G.R. - Aprochim-Getesarp-Rymoil S.A.
Principado de Astorias, s/n
33439 Carreno
Spanien","Principado de Astorias, s/n
33439 Carreno
Spanien",Werk Werra Untertagedeponie Herfa-Neurode,06-90015130632,9.94617416134178,50.8744964131824,"In der Aue 1
36266 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,3822,Behandlung und Beseitigung gefährlicher Abfälle,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
166124,2009,318.0,TRUE,TRUE,Zur Verwertung,Messung,Wiegen (M),NIKOM KFTBimbo U 52600 VacUngarn,"Sirkert U 2-4
1108 Budapest
Ungarn",Saint-Gobain Industrie Keramik Rödental GmbH,06-09-473-0024-0001,11.0435516762718,50.2922535682446,"Oeslauer Straße 35
96472 Rödental",Bayern,Rhein,Saint-Gobain Industrie Keramik Rödental GmbH,Saint-Gobain Industrie Keramik Rödental GmbH,Saint-Gobain Industrie Keramik Rödental GmbH,2320,Herstellung von feuerfesten keramischen Werkstoffen und Waren,Herstellung keramischer Erzeugnisse >75 t/d oder Ofenkapazität >4 m³ und Besatzdichte >300 kg/m³,Herstellung keramischer Erzeugnisse,Mineralverarbeitende Industrie
178150,2013,202.0,TRUE,TRUE,Zur Verwertung,Messung,Wiegen (M),"TREDI SA Siege Social
Parc Industriell de la Plaine de Lain
01155 Lagnieu Cedex
Frankreich","Parc Industriell de la Plaine de Lain
01155 Lagnieu Cedex
Frankreich",Werk Werra Untertagedeponie Herfa-Neurode,06-90015130632,9.94617416134178,50.8744964131824,"In der Aue 1
36266 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,3822,Behandlung und Beseitigung gefährlicher Abfälle,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
182117,2014,342.0,TRUE,TRUE,Zur Verwertung,Messung,Wiegen (M),"TREDI SA Siege Social
Parc Industriell de la Plaine de Lain
01155 Lagnieu Cedex
Frankreich","Parc Industriell de la Plaine de Lain
01155 Lagnieu Cedex
Frankreich",Werk Werra Untertagedeponie Herfa-Neurode,06-90015130632,9.94617416134178,50.8744964131824,"In der Aue 1
36266 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,3822,Behandlung und Beseitigung gefährlicher Abfälle,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
182117,2014,893.0,TRUE,TRUE,Zur Verwertung,Messung,Wiegen (M),"A.G.R. - Aprochim-Getesarp-Rymoil S.A.
Principado de Astorias, s/n
33439 Carreno
Spanien","Principado de Astorias, s/n
33439 Carreno
Spanien",Werk Werra Untertagedeponie Herfa-Neurode,06-90015130632,9.94617416134178,50.8744964131824,"In der Aue 1
36266 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,3822,Behandlung und Beseitigung gefährlicher Abfälle,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
182117,2014,782.0,TRUE,TRUE,Zur Verwertung,Messung,Wiegen (M),"SETCAR S.A.
Gradinii Publice street 6
810022 Brailia
Rumänien","Gradinii Publice street 6
810022 Brailia
Rumänien",Werk Werra Untertagedeponie Herfa-Neurode,06-90015130632,9.94617416134178,50.8744964131824,"In der Aue 1
36266 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,3822,Behandlung und Beseitigung gefährlicher Abfälle,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
171364,2011,140.0,TRUE,TRUE,Zur Verwertung,Messung,Wiegen (M),NIKOM KFTBimbo U 52600 VacUngarn,"Sirkert U 2-4
1108 Budapest
Ungarn",Saint-Gobain Industrie Keramik Rödental GmbH,06-09-473-0024-0001,11.0435516762718,50.2922535682446,"Oeslauer Straße 35
96472 Rödental",Bayern,Rhein,Saint-Gobain Industrie Keramik Rödental GmbH,Saint-Gobain Industrie Keramik Rödental GmbH,Saint-Gobain Industrie Keramik Rödental GmbH,2320,Herstellung von feuerfesten keramischen Werkstoffen und Waren,Herstellung keramischer Erzeugnisse >75 t/d oder Ofenkapazität >4 m³ und Besatzdichte >300 kg/m³,Herstellung keramischer Erzeugnisse,Mineralverarbeitende Industrie
177716,2013,117.0,TRUE,TRUE,Zur Verwertung,Messung,Wiegen (M),NIKOM KFTBimbo U 52600 VacUngarn,"Sirkert U 2-4
1108 Budapest
Ungarn",Saint-Gobain Industrie Keramik Rödental GmbH,06-09-473-0024-0001,11.0435516762718,50.2922535682446,"Oeslauer Straße 35
96472 Rödental",Bayern,Rhein,Saint-Gobain Industrie Keramik Rödental GmbH,Saint-Gobain Industrie Keramik Rödental GmbH,Saint-Gobain Industrie Keramik Rödental GmbH,2320,Herstellung von feuerfesten keramischen Werkstoffen und Waren,Herstellung keramischer Erzeugnisse >75 t/d oder Ofenkapazität >4 m³ und Besatzdichte >300 kg/m³,,Mineralverarbeitende Industrie
168406,2010,525.0,TRUE,TRUE,Zur Verwertung,Messung,Wiegen (M),NIKOM KFTBimbo U 52600 VacUngarn,"Sirkert U 2-4
1108 Budapest
Ungarn",Saint-Gobain Industrie Keramik Rödental GmbH,06-09-473-0024-0001,11.0435516762718,50.2922535682446,"Oeslauer Straße 35
96472 Rödental",Bayern,Rhein,Saint-Gobain Industrie Keramik Rödental GmbH,Saint-Gobain Industrie Keramik Rödental GmbH,Saint-Gobain Industrie Keramik Rödental GmbH,2320,Herstellung von feuerfesten keramischen Werkstoffen und Waren,Herstellung keramischer Erzeugnisse >75 t/d oder Ofenkapazität >4 m³ und Besatzdichte >300 kg/m³,Herstellung keramischer Erzeugnisse,Mineralverarbeitende Industrie
