betriebe_id,jahr,jahresfracht,stoff_name,stoff_gruppe,stoff_schwellenwert,bestimmungsmethode,bestimmungsverfahren,name,kennnummer,wgs84_x,wgs84_y,anschrift,bundesland,flusseinzugsgebiet,muttergesellschaft,eigentuemer,betreiber,nace_code,nace_text,prtr_beschreibung,ivu_beschreibung,branchengruppe
175052,2012,65,Kupfer und Verbindungen (als Cu),Schwermetalle,50.0,Messung,NRB (M),Noelle + von Campe Glashütte GmbH,03-07-07236770280,9.39808281575063,51.7508625810582,"Sollingstr. 14
37691 Boffzen",Niedersachsen,Weser,Noelle + von Campe Glashütte GmbH,Noelle + von Campe Glashütte GmbH,Noelle + von Campe Glashütte GmbH,2313,Herstellung von Hohlglas,Herstellung von Glas und Glasfasern >20 t/d,Herstellung von Glas und Glasfasern,Mineralverarbeitende Industrie
78377,2010,86,Kupfer und Verbindungen (als Cu),Schwermetalle,50.0,Messung,ALT,Werk Neuhof-Ellers,06-90030210631,9.59918051730954,50.459291518217,"Am Kaliwerk 6
36119 Neuhof",Hessen,Weser,K+S KALI GmbH,K+S KALI GmbH,K+S KALI GmbH,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
182342,2014,52,Kupfer und Verbindungen (als Cu),Schwermetalle,50.0,Messung,ALT,Werk Neuhof-Ellers,06-90030210631,9.59915421214534,50.4593153461903,"Am Kaliwerk 6
36119 Neuhof",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
178258,2013,51,Kupfer und Verbindungen (als Cu),Schwermetalle,50.0,Messung,ALT,Werk Neuhof-Ellers,06-90030210631,9.59915421214534,50.4593153461903,"Am Kaliwerk 6
36119 Neuhof",Hessen,Weser,K+S KALI GmbH,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
54748,2009,151,Kupfer und Verbindungen (als Cu),Schwermetalle,50.0,Messung,ALT,Werk Neuhof-Ellers,06-90030210631,9.59918051730954,50.459291518217,"Am Kaliwerk 6
36119 Neuhof",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
50751,2008,156,Kupfer und Verbindungen (als Cu),Schwermetalle,50.0,Messung,ALT,Werk Neuhof-Ellers,06-90030210631,9.59918051730954,50.459291518217,"Am Kaliwerk 6
36119 Neuhof",Hessen,Weser,K+S KALI GmbH,,,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
175387,2012,1.1,Quecksilber und Verbindungen (als Hg),Schwermetalle,1.0,Messung,INT (M) CEN/ISO,Gerresheimer Essen GmbH,06-05-100-0109379,7.0882147613856,51.4386053043407,"Ruhrau 50
45279 Essen",Nordrhein-Westfalen,Rhein,Gerresheimer Essen GmbH,Gerresheimer Essen GmbH,Gerresheimer Essen GmbH,2313,Herstellung von Hohlglas,Herstellung von Glas und Glasfasern >20 t/d,Herstellung von Glas und Glasfasern,Mineralverarbeitende Industrie
179424,2013,1.1,Quecksilber und Verbindungen (als Hg),Schwermetalle,1.0,Messung,INT (M) CEN/ISO,Gerresheimer Essen GmbH,06-05-100-0109379,7.0882147613856,51.4386053043407,"Ruhrau 50
45279 Essen",Nordrhein-Westfalen,Rhein,Gerresheimer Essen GmbH,Gerresheimer Essen GmbH,Gerresheimer Essen GmbH,2313,Herstellung von Hohlglas,Herstellung von Glas und Glasfasern >20 t/d,,Mineralverarbeitende Industrie
183261,2014,1.1,Quecksilber und Verbindungen (als Hg),Schwermetalle,1.0,Messung,INT (M) CEN/ISO,Gerresheimer Essen GmbH,06-05-100-0109379,7.0882147613856,51.4386053043407,"Ruhrau 50
45279 Essen",Nordrhein-Westfalen,Rhein,Gerresheimer Essen GmbH,Gerresheimer Essen GmbH,Gerresheimer Essen GmbH,2313,Herstellung von Hohlglas,Herstellung von Glas und Glasfasern >20 t/d,,Mineralverarbeitende Industrie
172923,2011,1.1,Quecksilber und Verbindungen (als Hg),Schwermetalle,1.0,Messung,INT (M) CEN/ISO,Gerresheimer Essen GmbH,06-05-100-0109379,7.0882147613856,51.4386053043407,"Ruhrau 50
45279 Essen",Nordrhein-Westfalen,Rhein,Gerresheimer Essen GmbH,Gerresheimer Essen GmbH,Gerresheimer Essen GmbH,2313,Herstellung von Hohlglas,Herstellung von Glas und Glasfasern >20 t/d,Herstellung von Glas und Glasfasern,Mineralverarbeitende Industrie
167752,2009,1.1,Quecksilber und Verbindungen (als Hg),Schwermetalle,1.0,Messung,INT (M) CEN/ISO,Gerresheimer Essen GmbH,06-05-100-0109379,7.0882147613856,51.4386053043407,"Ruhrau 50
45279 Essen",Nordrhein-Westfalen,Rhein,Gerresheimer Essen GmbH,Gerresheimer Essen GmbH,Gerresheimer Essen GmbH,2313,Herstellung von Hohlglas,Herstellung von Glas und Glasfasern >20 t/d,Herstellung von Glas und Glasfasern,Mineralverarbeitende Industrie
165030,2008,1.1,Quecksilber und Verbindungen (als Hg),Schwermetalle,1.0,Messung,OTH (M),Gerresheimer Essen GmbH,06-05-100-0109379,7.0882147613856,51.4386053043407,"Ruhrau 50
45279 Essen",Nordrhein-Westfalen,Rhein,Gerresheimer Essen GmbH,,,2313,Herstellung von Hohlglas,Herstellung von Glas und Glasfasern >20 t/d,Herstellung von Glas und Glasfasern,Mineralverarbeitende Industrie
169658,2010,1.1,Quecksilber und Verbindungen (als Hg),Schwermetalle,1.0,Messung,INT (M) CEN/ISO,Gerresheimer Essen GmbH,06-05-100-0109379,7.0882147613856,51.4386053043407,"Ruhrau 50
45279 Essen",Nordrhein-Westfalen,Rhein,Gerresheimer Essen GmbH,Gerresheimer Essen GmbH,Gerresheimer Essen GmbH,2313,Herstellung von Hohlglas,Herstellung von Glas und Glasfasern >20 t/d,Herstellung von Glas und Glasfasern,Mineralverarbeitende Industrie
84982,2011,71,Nickel und Verbindungen (als Ni),Schwermetalle,20.0,Messung,ALT,Werk Neuhof-Ellers,06-90030210631,9.59918051730954,50.459291518217,"Am Kaliwerk 6
36119 Neuhof",Hessen,Weser,K+S KALI GmbH,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
78377,2010,86,Nickel und Verbindungen (als Ni),Schwermetalle,20.0,Messung,ALT,Werk Neuhof-Ellers,06-90030210631,9.59918051730954,50.459291518217,"Am Kaliwerk 6
36119 Neuhof",Hessen,Weser,K+S KALI GmbH,K+S KALI GmbH,K+S KALI GmbH,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
